analysis,base_deaths,immune_midpoint,max_vaccines,mortality_reduction_pct,radius,replicate,scenario_deaths,seed,ve_i,ve_m
fig4_immune_onset,863.0,5.0,,50.52143684820393,2,55,427.00000000000006,2026800055,0.45,0.45
fig4_immune_onset,950.0,5.0,,30.63157894736842,2,56,659.0,2026800056,0.45,0.45
fig4_immune_onset,768.0,5.0,,20.3125,2,57,612.0,2026800057,0.45,0.45
fig4_immune_onset,1063.0,5.0,,31.32643461900282,2,58,730.0,2026800058,0.45,0.45
fig4_immune_onset,920.0,5.0,,36.30434782608695,2,59,586.0,2026800059,0.45,0.45
fig4_immune_onset,711.0,5.0,,39.09985935302392,2,60,432.99999999999994,2026800060,0.45,0.45
fig4_immune_onset,659.0,5.0,,41.7298937784522,2,61,384.0,2026800061,0.45,0.45
fig4_immune_onset,673.0,5.0,,25.85438335809808,2,62,498.99999999999994,2026800062,0.45,0.45
fig4_immune_onset,738.0,5.0,,42.411924119241185,2,63,425.00000000000006,2026800063,0.45,0.45
fig4_immune_onset,895.9999999999999,5.0,,25.111607142857135,2,64,671.0,2026800064,0.45,0.45
fig4_immune_onset,835.0,5.0,,11.976047904191617,2,65,735.0,2026800065,0.45,0.45
fig4_immune_onset,970.0,5.0,,35.97938144329897,2,66,621.0,2026800066,0.45,0.45
fig4_immune_onset,651.0,5.0,,22.887864823348693,2,67,502.0,2026800067,0.45,0.45
fig4_immune_onset,550.0,5.0,,19.272727272727263,2,68,444.00000000000006,2026800068,0.45,0.45
fig4_immune_onset,698.0,5.0,,9.598853868194842,2,69,631.0,2026800069,0.45,0.45
fig4_immune_onset,664.0,5.0,,5.873493975903615,2,70,625.0,2026800070,0.45,0.45
fig4_immune_onset,924.0,5.0,,22.294372294372295,2,71,718.0,2026800071,0.45,0.45
fig4_immune_onset,1057.0,5.0,,29.801324503311257,2,72,742.0,2026800072,0.45,0.45
fig4_immune_onset,905.0000000000001,5.0,,31.160220994475146,2,73,623.0,2026800073,0.45,0.45
fig4_immune_onset,915.0,5.0,,23.825136612021858,2,74,697.0,2026800074,0.45,0.45
fig4_immune_onset,919.0,5.0,,43.96082698585419,2,75,515.0,2026800075,0.45,0.45
fig4_immune_onset,888.0000000000001,5.0,,44.14414414414416,2,76,496.0,2026800076,0.45,0.45
fig4_immune_onset,683.0,5.0,,43.04538799414348,2,77,389.0,2026800077,0.45,0.45
fig4_immune_onset,978.0,5.0,,36.19631901840491,2,78,624.0,2026800078,0.45,0.45
fig4_immune_onset,966.0,5.0,,40.78674948240165,2,79,572.0,2026800079,0.45,0.45
fig4_immune_onset,1100.0,5.0,,39.63636363636363,2,80,664.0,2026800080,0.45,0.45
fig4_immune_onset,767.0,5.0,,16.166883963494133,2,81,643.0,2026800081,0.45,0.45
fig4_immune_onset,1042.0,5.0,,31.957773512476006,2,82,709.0,2026800082,0.45,0.45
fig4_immune_onset,1065.0,5.0,,56.33802816901409,2,83,464.99999999999994,2026800083,0.45,0.45
fig4_immune_onset,704.0,5.0,,34.09090909090909,2,84,464.0,2026800084,0.45,0.45
fig4_immune_onset,954.0,5.0,,55.34591194968554,2,85,426.0,2026800085,0.45,0.45
fig4_immune_onset,868.0,5.0,,28.225806451612904,2,86,623.0,2026800086,0.45,0.45
fig4_immune_onset,844.0,5.0,,46.56398104265403,2,87,451.0,2026800087,0.45,0.45
fig4_immune_onset,1020.0000000000001,5.0,,40.00000000000001,2,88,612.0,2026800088,0.45,0.45
fig4_immune_onset,894.0,5.0,,37.695749440715886,2,89,557.0,2026800089,0.45,0.45
fig4_immune_onset,1100.0,5.0,,48.81818181818182,2,90,563.0,2026800090,0.45,0.45
fig4_immune_onset,614.0,5.0,,27.850162866449512,2,91,443.0,2026800091,0.45,0.45
fig4_immune_onset,851.0,5.0,,14.218566392479437,2,92,730.0,2026800092,0.45,0.45
fig4_immune_onset,718.0,5.0,,22.00557103064067,2,93,560.0,2026800093,0.45,0.45
fig4_immune_onset,958.0,5.0,,36.32567849686848,2,94,610.0,2026800094,0.45,0.45
fig4_immune_onset,972.0,5.0,,34.97942386831276,2,95,632.0,2026800095,0.45,0.45
fig4_immune_onset,974.0,5.0,,51.74537987679671,2,96,470.0,2026800096,0.45,0.45
fig4_immune_onset,652.0,5.0,,38.34355828220859,2,97,402.0,2026800097,0.45,0.45
fig4_immune_onset,909.0000000000001,5.0,,25.962596259625972,2,98,673.0,2026800098,0.45,0.45
fig4_immune_onset,923.0,5.0,,28.602383531960996,2,99,659.0,2026800099,0.45,0.45
fig4_immune_onset,890.0,10.0,,42.02247191011236,2,0,516.0,2026800000,0.45,0.45
fig4_immune_onset,694.0,10.0,,-11.239193083573488,2,1,772.0,2026800001,0.45,0.45
fig4_immune_onset,619.0,10.0,,21.324717285945074,2,2,487.0,2026800002,0.45,0.45
fig4_immune_onset,568.0,10.0,,29.929577464788732,2,3,398.0,2026800003,0.45,0.45
fig4_immune_onset,801.0,10.0,,28.089887640449437,2,4,576.0,2026800004,0.45,0.45
fig4_immune_onset,768.0,10.0,,32.291666666666664,2,5,520.0,2026800005,0.45,0.45
fig4_immune_onset,742.0,10.0,,34.501347708894876,2,6,486.0,2026800006,0.45,0.45
fig4_immune_onset,687.0,10.0,,24.017467248908297,2,7,522.0,2026800007,0.45,0.45
fig4_immune_onset,611.0,10.0,,28.805237315875626,2,8,434.99999999999994,2026800008,0.45,0.45
fig4_immune_onset,570.0,10.0,,13.859649122807008,2,9,491.00000000000006,2026800009,0.45,0.45
fig4_immune_onset,757.0,10.0,,27.60898282694848,2,10,548.0,2026800010,0.45,0.45
fig4_immune_onset,768.0,10.0,,22.65625,2,11,594.0,2026800011,0.45,0.45
fig4_immune_onset,732.0,10.0,,19.398907103825138,2,12,590.0,2026800012,0.45,0.45
fig4_immune_onset,1143.0,10.0,,32.89588801399825,2,13,767.0,2026800013,0.45,0.45
fig4_immune_onset,916.0,10.0,,12.882096069869007,2,14,797.9999999999999,2026800014,0.45,0.45
fig4_immune_onset,882.9999999999999,10.0,,12.570781426953557,2,15,772.0,2026800015,0.45,0.45
fig4_immune_onset,921.0,10.0,,10.423452768729641,2,16,825.0,2026800016,0.45,0.45
fig4_immune_onset,991.0,10.0,,18.66801210898083,2,17,806.0,2026800017,0.45,0.45
fig4_immune_onset,769.0,10.0,,20.416124837451235,2,18,612.0,2026800018,0.45,0.45
fig4_immune_onset,714.0,10.0,,22.408963585434172,2,19,554.0,2026800019,0.45,0.45
fig4_immune_onset,612.0,10.0,,9.640522875816993,2,20,553.0,2026800020,0.45,0.45
fig4_immune_onset,878.9999999999999,10.0,,31.285551763367454,2,21,604.0,2026800021,0.45,0.45
fig4_immune_onset,568.0,10.0,,7.922535211267606,2,22,523.0,2026800022,0.45,0.45
fig4_immune_onset,877.0,10.0,,27.708095781071837,2,23,634.0,2026800023,0.45,0.45
fig4_immune_onset,693.0,10.0,,25.974025974025974,2,24,513.0,2026800024,0.45,0.45
fig4_immune_onset,780.0,10.0,,32.69230769230769,2,25,525.0,2026800025,0.45,0.45
fig4_immune_onset,583.0,10.0,,11.492281303602057,2,26,516.0,2026800026,0.45,0.45
fig4_immune_onset,1001.0,10.0,,13.486513486513497,2,27,865.9999999999999,2026800027,0.45,0.45
fig4_immune_onset,703.0,10.0,,20.483641536273115,2,28,559.0,2026800028,0.45,0.45
fig4_immune_onset,589.0,10.0,,23.08998302207131,2,29,453.0,2026800029,0.45,0.45
fig4_immune_onset,589.0,10.0,,-5.093378607809847,2,30,619.0,2026800030,0.45,0.45
fig4_immune_onset,884.0000000000001,10.0,,22.058823529411775,2,31,689.0,2026800031,0.45,0.45
fig4_immune_onset,786.0000000000001,10.0,,43.89312977099238,2,32,441.0,2026800032,0.45,0.45
fig4_immune_onset,778.0,10.0,,10.668380462724937,2,33,695.0,2026800033,0.45,0.45
fig4_immune_onset,916.9999999999999,10.0,,9.160305343511428,2,34,833.0000000000001,2026800034,0.45,0.45
fig4_immune_onset,1041.0,10.0,,41.306436119116235,2,35,611.0,2026800035,0.45,0.45
fig4_immune_onset,878.0,10.0,,8.76993166287016,2,36,801.0,2026800036,0.45,0.45
fig4_immune_onset,848.0,10.0,,20.400943396226417,2,37,675.0,2026800037,0.45,0.45
fig4_immune_onset,1103.0,10.0,,29.73708068902992,2,38,775.0,2026800038,0.45,0.45
fig4_immune_onset,878.0,10.0,,35.42141230068337,2,39,567.0,2026800039,0.45,0.45
fig4_immune_onset,835.9999999999999,10.0,,27.511961722488028,2,40,606.0,2026800040,0.45,0.45
fig4_immune_onset,621.0,10.0,,26.570048309178745,2,41,456.0,2026800041,0.45,0.45
fig4_immune_onset,906.0,10.0,,27.70419426048565,2,42,655.0,2026800042,0.45,0.45
fig4_immune_onset,768.0,10.0,,18.229166666666668,2,43,628.0,2026800043,0.45,0.45
fig4_immune_onset,634.0,10.0,,20.820189274447948,2,44,502.0,2026800044,0.45,0.45
fig4_immune_onset,682.0,10.0,,33.72434017595309,2,45,451.99999999999994,2026800045,0.45,0.45
fig4_immune_onset,799.0000000000001,10.0,,31.53942428035045,2,46,547.0,2026800046,0.45,0.45
fig4_immune_onset,922.0000000000001,10.0,,4.338394793926259,2,47,882.0,2026800047,0.45,0.45
fig4_immune_onset,755.0,10.0,,51.12582781456954,2,48,369.0,2026800048,0.45,0.45
fig4_immune_onset,841.0000000000001,10.0,,9.86920332936981,2,49,758.0,2026800049,0.45,0.45
fig4_immune_onset,1029.0,10.0,,34.11078717201166,2,50,678.0,2026800050,0.45,0.45
fig4_immune_onset,716.0,10.0,,29.189944134078214,2,51,507.0,2026800051,0.45,0.45
fig4_immune_onset,671.0,10.0,,1.9374068554396424,2,52,658.0,2026800052,0.45,0.45
fig4_immune_onset,814.0,10.0,,32.923832923832926,2,53,546.0,2026800053,0.45,0.45
fig4_immune_onset,486.0,10.0,,19.34156378600823,2,54,392.0,2026800054,0.45,0.45
fig4_immune_onset,863.0,10.0,,43.56894553881808,2,55,487.0,2026800055,0.45,0.45
fig4_immune_onset,950.0,10.0,,26.0,2,56,703.0,2026800056,0.45,0.45
fig4_immune_onset,768.0,10.0,,33.333333333333336,2,57,512.0,2026800057,0.45,0.45
fig4_immune_onset,1063.0,10.0,,21.354656632173107,2,58,835.9999999999999,2026800058,0.45,0.45
fig4_immune_onset,920.0,10.0,,20.652173913043477,2,59,730.0,2026800059,0.45,0.45
fig4_immune_onset,711.0,10.0,,42.47538677918425,2,60,409.0,2026800060,0.45,0.45
fig4_immune_onset,659.0,10.0,,31.86646433990895,2,61,449.0,2026800061,0.45,0.45
fig4_immune_onset,673.0,10.0,,24.51708766716195,2,62,508.00000000000006,2026800062,0.45,0.45
fig4_immune_onset,738.0,10.0,,29.26829268292683,2,63,522.0,2026800063,0.45,0.45
fig4_immune_onset,895.9999999999999,10.0,,41.51785714285713,2,64,524.0,2026800064,0.45,0.45
fig4_immune_onset,835.0,10.0,,31.137724550898202,2,65,575.0,2026800065,0.45,0.45
fig4_immune_onset,970.0,10.0,,24.123711340206185,2,66,736.0,2026800066,0.45,0.45
fig4_immune_onset,651.0,10.0,,42.3963133640553,2,67,375.0,2026800067,0.45,0.45
fig4_immune_onset,550.0,10.0,,29.454545454545453,2,68,388.0,2026800068,0.45,0.45
fig4_immune_onset,698.0,10.0,,19.91404011461318,2,69,559.0,2026800069,0.45,0.45
fig4_immune_onset,664.0,10.0,,21.686746987951807,2,70,520.0,2026800070,0.45,0.45
fig4_immune_onset,924.0,10.0,,34.523809523809526,2,71,605.0,2026800071,0.45,0.45
fig4_immune_onset,1057.0,10.0,,40.2081362346263,2,72,632.0,2026800072,0.45,0.45
fig4_immune_onset,905.0000000000001,10.0,,36.90607734806631,2,73,571.0,2026800073,0.45,0.45
fig4_immune_onset,915.0,10.0,,20.546448087431695,2,74,727.0,2026800074,0.45,0.45
fig4_immune_onset,919.0,10.0,,40.91403699673558,2,75,543.0,2026800075,0.45,0.45
fig4_immune_onset,888.0000000000001,10.0,,13.175675675675686,2,76,771.0,2026800076,0.45,0.45
fig4_immune_onset,683.0,10.0,,20.644216691068813,2,77,542.0,2026800077,0.45,0.45
fig4_immune_onset,978.0,10.0,,43.353783231083845,2,78,554.0,2026800078,0.45,0.45
fig4_immune_onset,966.0,10.0,,26.91511387163561,2,79,706.0,2026800079,0.45,0.45
fig4_immune_onset,1100.0,10.0,,12.272727272727263,2,80,965.0000000000001,2026800080,0.45,0.45
fig4_immune_onset,767.0,10.0,,17.86179921773142,2,81,630.0,2026800081,0.45,0.45
fig4_immune_onset,1042.0,10.0,,22.072936660268713,2,82,812.0,2026800082,0.45,0.45
fig4_immune_onset,1065.0,10.0,,34.08450704225352,2,83,702.0,2026800083,0.45,0.45
fig4_immune_onset,704.0,10.0,,17.613636363636363,2,84,580.0,2026800084,0.45,0.45
fig4_immune_onset,954.0,10.0,,37.21174004192872,2,85,599.0,2026800085,0.45,0.45
fig4_immune_onset,868.0,10.0,,22.92626728110599,2,86,669.0,2026800086,0.45,0.45
fig4_immune_onset,844.0,10.0,,38.981042654028435,2,87,515.0,2026800087,0.45,0.45
fig4_immune_onset,1020.0000000000001,10.0,,33.43137254901962,2,88,679.0,2026800088,0.45,0.45
fig4_immune_onset,894.0,10.0,,21.812080536912752,2,89,699.0,2026800089,0.45,0.45
fig4_immune_onset,1100.0,10.0,,35.45454545454545,2,90,710.0,2026800090,0.45,0.45
fig4_immune_onset,614.0,10.0,,28.0130293159609,2,91,442.00000000000006,2026800091,0.45,0.45
fig4_immune_onset,851.0,10.0,,6.462984723854289,2,92,796.0,2026800092,0.45,0.45
fig4_immune_onset,718.0,10.0,,13.50974930362117,2,93,621.0,2026800093,0.45,0.45
fig4_immune_onset,958.0,10.0,,32.5678496868476,2,94,646.0,2026800094,0.45,0.45
fig4_immune_onset,972.0,10.0,,34.97942386831276,2,95,632.0,2026800095,0.45,0.45
fig4_immune_onset,974.0,10.0,,44.558521560574945,2,96,540.0,2026800096,0.45,0.45
fig4_immune_onset,652.0,10.0,,27.300613496932502,2,97,474.00000000000006,2026800097,0.45,0.45
fig4_immune_onset,909.0000000000001,10.0,,27.502750275027513,2,98,659.0,2026800098,0.45,0.45
fig4_immune_onset,923.0,10.0,,29.469122426868907,2,99,651.0,2026800099,0.45,0.45
fig4_immune_onset,890.0,14.0,,34.943820224719104,2,0,579.0,2026800000,0.45,0.45
fig4_immune_onset,694.0,14.0,,-0.1440922190201729,2,1,695.0,2026800001,0.45,0.45
fig4_immune_onset,619.0,14.0,,13.08562197092084,2,2,538.0,2026800002,0.45,0.45
fig4_immune_onset,568.0,14.0,,12.85211267605633,2,3,495.00000000000006,2026800003,0.45,0.45
fig4_immune_onset,801.0,14.0,,19.10112359550562,2,4,648.0,2026800004,0.45,0.45
fig4_immune_onset,768.0,14.0,,21.09375,2,5,606.0,2026800005,0.45,0.45
fig4_immune_onset,742.0,14.0,,37.06199460916443,2,6,466.99999999999994,2026800006,0.45,0.45
fig4_immune_onset,687.0,14.0,,19.213973799126638,2,7,555.0,2026800007,0.45,0.45
fig4_immune_onset,611.0,14.0,,-4.4189852700491,2,8,638.0,2026800008,0.45,0.45
fig4_immune_onset,570.0,14.0,,11.929824561403509,2,9,502.0,2026800009,0.45,0.45
fig4_immune_onset,757.0,14.0,,12.15323645970938,2,10,665.0,2026800010,0.45,0.45
fig4_immune_onset,768.0,14.0,,22.65625,2,11,594.0,2026800011,0.45,0.45
fig4_immune_onset,732.0,14.0,,21.584699453551913,2,12,574.0,2026800012,0.45,0.45
fig4_immune_onset,1143.0,14.0,,30.446194225721786,2,13,795.0,2026800013,0.45,0.45
