analysis,base_deaths,coverage,max_vaccines,mortality_reduction_pct,radius,replicate,risk,scenario_deaths,seed,ve_i,ve_m
fig3_risk_compensation,1050.0,0.4,0,83.04761904761905,2,49,1.0,178.0,2026705049,0.75,0.75
fig3_risk_compensation,999.0000000000001,0.4,0,80.58058058058059,2,50,1.0,194.0,2026705050,0.75,0.75
fig3_risk_compensation,907.0,0.4,0,82.35942668136714,2,51,1.0,160.0,2026705051,0.75,0.75
fig3_risk_compensation,949.0,0.4,0,82.50790305584826,2,52,1.0,166.0,2026705052,0.75,0.75
fig3_risk_compensation,693.0,0.4,0,74.31457431457432,2,53,1.0,178.0,2026705053,0.75,0.75
fig3_risk_compensation,893.0,0.4,0,76.1478163493841,2,54,1.0,213.0,2026705054,0.75,0.75
fig3_risk_compensation,1027.0,0.4,0,83.93378773125609,2,55,1.0,165.0,2026705055,0.75,0.75
fig3_risk_compensation,736.0,0.4,0,68.75,2,56,1.0,230.0,2026705056,0.75,0.75
fig3_risk_compensation,805.0,0.4,0,79.00621118012423,2,57,1.0,169.0,2026705057,0.75,0.75
fig3_risk_compensation,1025.0,0.4,0,77.65853658536585,2,58,1.0,229.0,2026705058,0.75,0.75
fig3_risk_compensation,768.0,0.4,0,75.78125,2,59,1.0,186.0,2026705059,0.75,0.75
fig3_risk_compensation,733.0,0.4,0,72.98772169167803,2,60,1.0,198.0,2026705060,0.75,0.75
fig3_risk_compensation,835.0,0.4,0,80.95808383233533,2,61,1.0,159.0,2026705061,0.75,0.75
fig3_risk_compensation,801.0,0.4,0,80.52434456928839,2,62,1.0,156.0,2026705062,0.75,0.75
fig3_risk_compensation,923.0,0.4,0,81.14842903575298,2,63,1.0,174.0,2026705063,0.75,0.75
fig3_risk_compensation,1022.0,0.4,0,82.7788649706458,2,64,1.0,176.0,2026705064,0.75,0.75
fig3_risk_compensation,914.0,0.4,0,76.58643326039387,2,65,1.0,214.0,2026705065,0.75,0.75
fig3_risk_compensation,800.0,0.4,0,81.375,2,66,1.0,149.0,2026705066,0.75,0.75
fig3_risk_compensation,724.0,0.4,0,71.68508287292818,2,67,1.0,205.00000000000003,2026705067,0.75,0.75
fig3_risk_compensation,702.0,0.4,0,78.4900284900285,2,68,1.0,151.0,2026705068,0.75,0.75
fig3_risk_compensation,788.0,0.4,0,75.63451776649747,2,69,1.0,192.0,2026705069,0.75,0.75
fig3_risk_compensation,825.0,0.4,0,78.42424242424242,2,70,1.0,178.0,2026705070,0.75,0.75
fig3_risk_compensation,937.0,0.4,0,81.96371398078975,2,71,1.0,169.0,2026705071,0.75,0.75
fig3_risk_compensation,742.0,0.4,0,76.54986522911051,2,72,1.0,174.0,2026705072,0.75,0.75
fig3_risk_compensation,675.0,0.4,0,76.44444444444444,2,73,1.0,159.0,2026705073,0.75,0.75
fig3_risk_compensation,809.0,0.4,0,79.97527812113721,2,74,1.0,162.0,2026705074,0.75,0.75
fig3_risk_compensation,790.0000000000001,0.4,0,80.12658227848102,2,75,1.0,157.0,2026705075,0.75,0.75
fig3_risk_compensation,772.0,0.4,0,70.07772020725389,2,76,1.0,231.0,2026705076,0.75,0.75
fig3_risk_compensation,861.0,0.4,0,82.92682926829268,2,77,1.0,147.0,2026705077,0.75,0.75
fig3_risk_compensation,980.9999999999999,0.4,0,82.77268093781855,2,78,1.0,169.0,2026705078,0.75,0.75
fig3_risk_compensation,761.0,0.4,0,77.00394218134034,2,79,1.0,175.0,2026705079,0.75,0.75
fig3_risk_compensation,844.9999999999999,0.4,0,78.10650887573964,2,80,1.0,185.0,2026705080,0.75,0.75
fig3_risk_compensation,599.0,0.4,0,81.63606010016694,2,81,1.0,110.0,2026705081,0.75,0.75
fig3_risk_compensation,1001.9999999999999,0.4,0,76.94610778443113,2,82,1.0,231.0,2026705082,0.75,0.75
fig3_risk_compensation,826.0,0.4,0,82.08232445520581,2,83,1.0,148.0,2026705083,0.75,0.75
fig3_risk_compensation,838.0,0.4,0,79.83293556085918,2,84,1.0,169.0,2026705084,0.75,0.75
fig3_risk_compensation,509.0,0.4,0,76.2278978388998,2,85,1.0,120.99999999999999,2026705085,0.75,0.75
fig3_risk_compensation,533.0,0.4,0,74.48405253283302,2,86,1.0,136.0,2026705086,0.75,0.75
fig3_risk_compensation,1029.0,0.4,0,80.466472303207,2,87,1.0,201.0,2026705087,0.75,0.75
fig3_risk_compensation,803.0000000000001,0.4,0,76.7123287671233,2,88,1.0,187.0,2026705088,0.75,0.75
fig3_risk_compensation,898.0,0.4,0,79.9554565701559,2,89,1.0,180.0,2026705089,0.75,0.75
fig3_risk_compensation,957.0,0.4,0,73.35423197492163,2,90,1.0,255.00000000000003,2026705090,0.75,0.75
fig3_risk_compensation,564.0,0.4,0,74.29078014184397,2,91,1.0,145.0,2026705091,0.75,0.75
fig3_risk_compensation,786.0000000000001,0.4,0,74.80916030534353,2,92,1.0,198.0,2026705092,0.75,0.75
fig3_risk_compensation,605.0,0.4,0,76.03305785123968,2,93,1.0,145.0,2026705093,0.75,0.75
fig3_risk_compensation,787.0,0.4,0,77.38246505717916,2,94,1.0,178.0,2026705094,0.75,0.75
fig3_risk_compensation,690.0,0.4,0,79.1304347826087,2,95,1.0,144.0,2026705095,0.75,0.75
fig3_risk_compensation,931.0,0.4,0,84.1031149301826,2,96,1.0,148.0,2026705096,0.75,0.75
fig3_risk_compensation,731.0,0.4,0,74.14500683994528,2,97,1.0,189.0,2026705097,0.75,0.75
fig3_risk_compensation,647.0,0.4,0,77.58887171561051,2,98,1.0,145.0,2026705098,0.75,0.75
fig3_risk_compensation,924.0,0.4,0,84.95670995670996,2,99,1.0,139.0,2026705099,0.75,0.75
fig3_risk_compensation,865.0,0.4,0,79.07514450867052,2,0,1.0,181.0,2026706000,0.9,0.9
fig3_risk_compensation,878.0,0.4,0,80.18223234624146,2,1,1.0,174.0,2026706001,0.9,0.9
fig3_risk_compensation,715.0,0.4,0,78.18181818181819,2,2,1.0,156.0,2026706002,0.9,0.9
fig3_risk_compensation,447.99999999999994,0.4,0,78.57142857142857,2,3,1.0,96.0,2026706003,0.9,0.9
fig3_risk_compensation,919.0,0.4,0,79.4341675734494,2,4,1.0,189.0,2026706004,0.9,0.9
fig3_risk_compensation,1277.0,0.4,0,84.41660140955364,2,5,1.0,199.0,2026706005,0.9,0.9
fig3_risk_compensation,817.0,0.4,0,77.60097919216646,2,6,1.0,183.0,2026706006,0.9,0.9
fig3_risk_compensation,839.0,0.4,0,80.0953516090584,2,7,1.0,167.0,2026706007,0.9,0.9
fig3_risk_compensation,967.0,0.4,0,81.90279214064115,2,8,1.0,175.0,2026706008,0.9,0.9
fig3_risk_compensation,649.0,0.4,0,78.73651771956857,2,9,1.0,138.0,2026706009,0.9,0.9
fig3_risk_compensation,618.0,0.4,0,77.66990291262135,2,10,1.0,138.0,2026706010,0.9,0.9
fig3_risk_compensation,779.0,0.4,0,77.53530166880616,2,11,1.0,175.0,2026706011,0.9,0.9
fig3_risk_compensation,749.0,0.4,0,81.30841121495327,2,12,1.0,140.0,2026706012,0.9,0.9
fig3_risk_compensation,659.0,0.4,0,73.59635811836115,2,13,1.0,174.0,2026706013,0.9,0.9
fig3_risk_compensation,738.0,0.4,0,77.23577235772358,2,14,1.0,168.0,2026706014,0.9,0.9
fig3_risk_compensation,1282.0,0.4,0,78.62714508580343,2,15,1.0,274.0,2026706015,0.9,0.9
fig3_risk_compensation,1219.0,0.4,0,83.01886792452831,2,16,1.0,206.99999999999997,2026706016,0.9,0.9
fig3_risk_compensation,716.0,0.4,0,76.81564245810056,2,17,1.0,166.0,2026706017,0.9,0.9
fig3_risk_compensation,607.0,0.4,0,79.07742998352553,2,18,1.0,127.00000000000001,2026706018,0.9,0.9
fig3_risk_compensation,741.0,0.4,0,73.8191632928475,2,19,1.0,194.0,2026706019,0.9,0.9
fig3_risk_compensation,786.0000000000001,0.4,0,76.08142493638678,2,20,1.0,188.0,2026706020,0.9,0.9
fig3_risk_compensation,544.0,0.4,0,81.25,2,21,1.0,102.00000000000001,2026706021,0.9,0.9
fig3_risk_compensation,1124.0,0.4,0,84.4306049822064,2,22,1.0,175.0,2026706022,0.9,0.9
fig3_risk_compensation,699.0,0.4,0,80.82975679542203,2,23,1.0,134.0,2026706023,0.9,0.9
fig3_risk_compensation,834.0,0.4,0,80.81534772182255,2,24,1.0,160.0,2026706024,0.9,0.9
fig3_risk_compensation,1073.0,0.4,0,74.65051258154706,2,25,1.0,272.0,2026706025,0.9,0.9
fig3_risk_compensation,726.0,0.4,0,76.5840220385675,2,26,1.0,170.0,2026706026,0.9,0.9
fig3_risk_compensation,1138.0,0.4,0,84.27065026362038,2,27,1.0,179.0,2026706027,0.9,0.9
fig3_risk_compensation,791.0,0.4,0,68.52085967130215,2,28,1.0,249.0,2026706028,0.9,0.9
fig3_risk_compensation,812.0,0.4,0,83.62068965517241,2,29,1.0,133.0,2026706029,0.9,0.9
fig3_risk_compensation,901.0000000000001,0.4,0,81.90899001109878,2,30,1.0,163.0,2026706030,0.9,0.9
fig3_risk_compensation,687.0,0.4,0,80.49490538573508,2,31,1.0,134.0,2026706031,0.9,0.9
fig3_risk_compensation,860.0,0.4,0,78.48837209302326,2,32,1.0,185.0,2026706032,0.9,0.9
fig3_risk_compensation,823.0,0.4,0,79.34386391251519,2,33,1.0,170.0,2026706033,0.9,0.9
fig3_risk_compensation,1150.0,0.4,0,80.95652173913044,2,34,1.0,219.0,2026706034,0.9,0.9
fig3_risk_compensation,781.0,0.4,0,76.95262483994878,2,35,1.0,180.0,2026706035,0.9,0.9
fig3_risk_compensation,957.0,0.4,0,76.59352142110762,2,36,1.0,223.99999999999997,2026706036,0.9,0.9
fig3_risk_compensation,734.0,0.4,0,75.74931880108991,2,37,1.0,178.0,2026706037,0.9,0.9
fig3_risk_compensation,1231.0,0.4,0,87.32737611697807,2,38,1.0,156.0,2026706038,0.9,0.9
fig3_risk_compensation,944.0,0.4,0,82.20338983050847,2,39,1.0,168.0,2026706039,0.9,0.9
fig3_risk_compensation,760.0,0.4,0,83.15789473684211,2,40,1.0,128.0,2026706040,0.9,0.9
fig3_risk_compensation,690.0,0.4,0,74.20289855072464,2,41,1.0,178.0,2026706041,0.9,0.9
fig3_risk_compensation,758.0,0.4,0,72.69129287598945,2,42,1.0,206.99999999999997,2026706042,0.9,0.9
fig3_risk_compensation,593.0,0.4,0,79.0893760539629,2,43,1.0,124.0,2026706043,0.9,0.9
fig3_risk_compensation,810.0,0.4,0,82.46913580246914,2,44,1.0,142.0,2026706044,0.9,0.9
fig3_risk_compensation,844.9999999999999,0.4,0,80.71005917159762,2,45,1.0,163.0,2026706045,0.9,0.9
fig3_risk_compensation,928.0,0.4,0,83.62068965517241,2,46,1.0,152.0,2026706046,0.9,0.9
fig3_risk_compensation,1125.0,0.4,0,81.86666666666666,2,47,1.0,204.00000000000003,2026706047,0.9,0.9
fig3_risk_compensation,937.0,0.4,0,72.89220917822838,2,48,1.0,254.00000000000003,2026706048,0.9,0.9
fig3_risk_compensation,886.9999999999999,0.4,0,82.18714768883878,2,49,1.0,158.0,2026706049,0.9,0.9
fig3_risk_compensation,975.0,0.4,0,82.66666666666667,2,50,1.0,169.0,2026706050,0.9,0.9
fig3_risk_compensation,1035.0,0.4,0,82.512077294686,2,51,1.0,181.0,2026706051,0.9,0.9
fig3_risk_compensation,706.0,0.4,0,80.59490084985836,2,52,1.0,137.0,2026706052,0.9,0.9
fig3_risk_compensation,762.0,0.4,0,77.42782152230971,2,53,1.0,172.0,2026706053,0.9,0.9
fig3_risk_compensation,797.0,0.4,0,88.45671267252196,2,54,1.0,92.0,2026706054,0.9,0.9
fig3_risk_compensation,737.0,0.4,0,77.88331071913161,2,55,1.0,163.0,2026706055,0.9,0.9
fig3_risk_compensation,456.0,0.4,0,66.66666666666667,2,56,1.0,152.0,2026706056,0.9,0.9
fig3_risk_compensation,1081.0,0.4,0,74.83811285846438,2,57,1.0,272.0,2026706057,0.9,0.9
fig3_risk_compensation,840.0,0.4,0,87.38095238095238,2,58,1.0,106.0,2026706058,0.9,0.9
fig3_risk_compensation,814.9999999999999,0.4,0,81.34969325153374,2,59,1.0,152.0,2026706059,0.9,0.9
fig3_risk_compensation,988.0,0.4,0,76.92307692307692,2,60,1.0,228.0,2026706060,0.9,0.9
fig3_risk_compensation,751.0,0.4,0,84.68708388814913,2,61,1.0,115.0,2026706061,0.9,0.9
fig3_risk_compensation,572.0,0.4,0,78.4965034965035,2,62,1.0,123.0,2026706062,0.9,0.9
fig3_risk_compensation,654.0,0.4,0,64.98470948012232,2,63,1.0,229.0,2026706063,0.9,0.9
fig3_risk_compensation,894.0,0.4,0,84.78747203579418,2,64,1.0,136.0,2026706064,0.9,0.9
fig3_risk_compensation,789.0,0.4,0,75.91888466413181,2,65,1.0,190.0,2026706065,0.9,0.9
fig3_risk_compensation,1092.0,0.4,0,80.67765567765568,2,66,1.0,211.0,2026706066,0.9,0.9
fig3_risk_compensation,738.0,0.4,0,74.66124661246613,2,67,1.0,187.0,2026706067,0.9,0.9
fig3_risk_compensation,901.0000000000001,0.4,0,79.46725860155384,2,68,1.0,185.0,2026706068,0.9,0.9
fig3_risk_compensation,1176.0,0.4,0,84.01360544217687,2,69,1.0,188.0,2026706069,0.9,0.9
fig3_risk_compensation,838.0,0.4,0,78.8782816229117,2,70,1.0,177.0,2026706070,0.9,0.9
fig3_risk_compensation,1051.0,0.4,0,81.3510941960038,2,71,1.0,196.0,2026706071,0.9,0.9
fig3_risk_compensation,1049.0,0.4,0,84.65204957102002,2,72,1.0,161.0,2026706072,0.9,0.9
fig3_risk_compensation,1134.0,0.4,0,84.30335097001763,2,73,1.0,178.0,2026706073,0.9,0.9
fig3_risk_compensation,997.0,0.4,0,84.85456369107322,2,74,1.0,151.0,2026706074,0.9,0.9
fig3_risk_compensation,690.0,0.4,0,81.15942028985508,2,75,1.0,130.0,2026706075,0.9,0.9
fig3_risk_compensation,916.9999999999999,0.4,0,83.96946564885495,2,76,1.0,147.0,2026706076,0.9,0.9
fig3_risk_compensation,1178.0,0.4,0,86.5025466893039,2,77,1.0,159.0,2026706077,0.9,0.9
fig3_risk_compensation,1303.0,0.4,0,86.18572524942441,2,78,1.0,180.0,2026706078,0.9,0.9
fig3_risk_compensation,770.0,0.4,0,81.55844155844156,2,79,1.0,142.0,2026706079,0.9,0.9
fig3_risk_compensation,872.0,0.4,0,82.22477064220183,2,80,1.0,155.0,2026706080,0.9,0.9
fig3_risk_compensation,822.0,0.4,0,82.60340632603406,2,81,1.0,143.0,2026706081,0.9,0.9
fig3_risk_compensation,665.0,0.4,0,83.45864661654136,2,82,1.0,110.0,2026706082,0.9,0.9
fig3_risk_compensation,781.0,0.4,0,77.08066581306018,2,83,1.0,179.0,2026706083,0.9,0.9
fig3_risk_compensation,595.0,0.4,0,75.29411764705883,2,84,1.0,147.0,2026706084,0.9,0.9
fig3_risk_compensation,707.0,0.4,0,81.8953323903819,2,85,1.0,128.0,2026706085,0.9,0.9
fig3_risk_compensation,809.0,0.4,0,74.16563658838072,2,86,1.0,208.99999999999997,2026706086,0.9,0.9
fig3_risk_compensation,800.0,0.4,0,75.5,2,87,1.0,196.0,2026706087,0.9,0.9
fig3_risk_compensation,1082.0,0.4,0,87.15341959334566,2,88,1.0,139.0,2026706088,0.9,0.9
fig3_risk_compensation,1056.0,0.4,0,83.4280303030303,2,89,1.0,175.0,2026706089,0.9,0.9
fig3_risk_compensation,885.0,0.4,0,77.96610169491525,2,90,1.0,195.0,2026706090,0.9,0.9
fig3_risk_compensation,744.0,0.4,0,75.53763440860214,2,91,1.0,182.0,2026706091,0.9,0.9
fig3_risk_compensation,856.0,0.4,0,73.59813084112149,2,92,1.0,225.99999999999997,2026706092,0.9,0.9
fig3_risk_compensation,1024.0,0.4,0,85.15625,2,93,1.0,152.0,2026706093,0.9,0.9
fig3_risk_compensation,937.0,0.4,0,82.60405549626468,2,94,1.0,163.0,2026706094,0.9,0.9
fig3_risk_compensation,830.0,0.4,0,81.6867469879518,2,95,1.0,152.0,2026706095,0.9,0.9
fig3_risk_compensation,816.0000000000001,0.4,0,84.31372549019609,2,96,1.0,128.0,2026706096,0.9,0.9
fig3_risk_compensation,554.0,0.4,0,79.78339350180505,2,97,1.0,111.99999999999999,2026706097,0.9,0.9
fig3_risk_compensation,1213.0,0.4,0,84.25391591096455,2,98,1.0,191.0,2026706098,0.9,0.9
fig3_risk_compensation,988.0,0.4,0,82.38866396761134,2,99,1.0,174.0,2026706099,0.9,0.9
