coverage,delay,replicate,seed,base_deaths,scenario_deaths,mortality_reduction_pct
0.7000000000000001,0.0,0,2026900000,938.0,138.0,85.28784648187633
0.7000000000000001,0.0,1,2026900001,959.0,125.0,86.96558915537018
0.7000000000000001,0.0,2,2026900002,806.0,128.0,84.11910669975187
0.7000000000000001,0.0,3,2026900003,969.0000000000001,137.0,85.86171310629516
0.7000000000000001,0.0,4,2026900004,921.0,187.0,79.69598262757872
0.7000000000000001,0.0,5,2026900005,1061.0,161.0,84.82563619227145
0.7000000000000001,0.0,6,2026900006,758.0,118.0,84.43271767810026
0.7000000000000001,0.0,7,2026900007,1272.0,186.0,85.37735849056604
0.7000000000000001,0.0,8,2026900008,705.0,112.99999999999999,83.97163120567376
0.7000000000000001,0.0,9,2026900009,814.0,134.0,83.53808353808354
0.7000000000000001,0.0,10,2026900010,972.0,119.00000000000001,87.75720164609054
0.7000000000000001,0.0,11,2026900011,892.0000000000001,137.0,84.64125560538118
0.7000000000000001,0.0,12,2026900012,718.0,133.0,81.47632311977716
0.7000000000000001,0.0,13,2026900013,852.9999999999999,140.0,83.5873388042204
0.7000000000000001,0.0,14,2026900014,880.0,109.0,87.61363636363636
0.7000000000000001,0.0,15,2026900015,837.0000000000001,167.0,80.04778972520909
0.7000000000000001,0.0,16,2026900016,683.0,140.0,79.50219619326501
0.7000000000000001,0.0,17,2026900017,727.0,163.0,77.57909215955983
0.7000000000000001,0.0,18,2026900018,788.0,154.0,80.45685279187818
0.7000000000000001,0.0,19,2026900019,911.0,119.00000000000001,86.93743139407245
0.7000000000000001,0.0,20,2026900020,835.0,148.0,82.27544910179641
0.7000000000000001,0.0,21,2026900021,867.0000000000001,140.0,83.85236447520185
0.7000000000000001,0.0,22,2026900022,629.0,73.0,88.39427662957075
0.7000000000000001,0.0,23,2026900023,820.0000000000001,136.0,83.41463414634147
0.7000000000000001,0.0,24,2026900024,835.0,146.0,82.51497005988024
0.7000000000000001,0.0,25,2026900025,723.0,91.0,87.41355463347165
0.7000000000000001,0.0,26,2026900026,734.0,85.0,88.41961852861036
0.7000000000000001,0.0,27,2026900027,885.0,133.0,84.97175141242938
0.7000000000000001,0.0,28,2026900028,899.9999999999999,119.00000000000001,86.77777777777777
0.7000000000000001,0.0,29,2026900029,556.0,116.0,79.13669064748201
0.7000000000000001,0.0,30,2026900030,1207.0,153.0,87.32394366197182
0.7000000000000001,0.0,31,2026900031,706.0,119.99999999999999,83.0028328611898
0.7000000000000001,0.0,32,2026900032,972.0,144.0,85.18518518518519
0.7000000000000001,0.0,33,2026900033,678.0,123.0,81.85840707964601
0.7000000000000001,0.0,34,2026900034,580.0,110.0,81.03448275862068
0.7000000000000001,0.0,35,2026900035,582.0,91.0,84.36426116838489
0.7000000000000001,0.0,36,2026900036,852.0,132.0,84.50704225352112
0.7000000000000001,0.0,37,2026900037,728.0,124.0,82.96703296703296
0.7000000000000001,0.0,38,2026900038,652.0,158.0,75.76687116564418
0.7000000000000001,0.0,39,2026900039,891.0,123.0,86.1952861952862
0.7000000000000001,0.0,40,2026900040,831.9999999999999,148.0,82.21153846153845
0.7000000000000001,0.0,41,2026900041,861.0,134.0,84.43670150987224
0.7000000000000001,0.0,42,2026900042,963.0,140.0,85.46209761163033
0.7000000000000001,0.0,43,2026900043,715.0,149.0,79.16083916083916
0.7000000000000001,0.0,44,2026900044,1025.0,191.0,81.36585365853658
0.7000000000000001,0.0,45,2026900045,496.0,95.0,80.84677419354838
0.7000000000000001,0.0,46,2026900046,915.0,130.0,85.79234972677595
0.7000000000000001,0.0,47,2026900047,911.0,142.0,84.41273326015367
0.7000000000000001,0.0,48,2026900048,638.0,87.0,86.36363636363636
0.7000000000000001,0.0,49,2026900049,810.0,145.0,82.09876543209876
0.7000000000000001,0.0,50,2026900050,955.0,151.0,84.18848167539267
0.7000000000000001,0.0,51,2026900051,724.0,84.0,88.39779005524862
0.7000000000000001,0.0,52,2026900052,961.0,173.0,81.99791883454735
0.7000000000000001,0.0,53,2026900053,1010.9999999999999,163.0,83.87734915924827
0.7000000000000001,0.0,54,2026900054,1045.0,111.00000000000001,89.377990430622
0.7000000000000001,0.0,55,2026900055,831.0,118.0,85.80024067388689
0.7000000000000001,0.0,56,2026900056,737.0,119.99999999999999,83.71777476255089
0.7000000000000001,0.0,57,2026900057,817.0,115.0,85.92411260709915
0.7000000000000001,0.0,58,2026900058,912.9999999999999,211.0,76.8893756845564
0.7000000000000001,0.0,59,2026900059,675.0,139.0,79.4074074074074
0.7000000000000001,0.0,60,2026900060,958.0,188.0,80.37578288100208
0.7000000000000001,0.0,61,2026900061,1018.9999999999999,130.0,87.24239450441608
0.7000000000000001,0.0,62,2026900062,955.0,155.0,83.7696335078534
0.7000000000000001,0.0,63,2026900063,651.0,148.0,77.2657450076805
0.7000000000000001,0.0,64,2026900064,976.9999999999999,186.0,80.96212896622313
0.7000000000000001,0.0,65,2026900065,776.0,152.0,80.41237113402062
0.7000000000000001,0.0,66,2026900066,851.0,127.00000000000001,85.07638072855464
0.7000000000000001,0.0,67,2026900067,969.0000000000001,119.00000000000001,87.71929824561404
0.7000000000000001,0.0,68,2026900068,567.0,122.0,78.48324514991182
0.7000000000000001,0.0,69,2026900069,876.0,160.0,81.7351598173516
0.7000000000000001,0.0,70,2026900070,876.0,145.0,83.44748858447488
0.7000000000000001,0.0,71,2026900071,765.0,114.0,85.09803921568627
0.7000000000000001,0.0,72,2026900072,681.0,112.99999999999999,83.40675477239354
0.7000000000000001,0.0,73,2026900073,1149.0,171.0,85.11749347258485
0.7000000000000001,0.0,74,2026900074,587.0,100.0,82.96422487223168
0.7000000000000001,0.0,75,2026900075,577.0,109.0,81.10918544194108
0.7000000000000001,0.0,76,2026900076,859.0,127.00000000000001,85.21536670547148
0.7000000000000001,0.0,77,2026900077,847.0,109.0,87.13105076741441
0.7000000000000001,0.0,78,2026900078,908.0,156.0,82.81938325991189
0.7000000000000001,0.0,79,2026900079,483.0,84.0,82.6086956521739
0.7000000000000001,0.0,80,2026900080,1164.0,110.0,90.54982817869416
0.7000000000000001,0.0,81,2026900081,709.0,117.0,83.49788434414668
0.7000000000000001,0.0,82,2026900082,741.0,118.0,84.07557354925775
0.7000000000000001,0.0,83,2026900083,923.0,118.0,87.21560130010835
0.7000000000000001,0.0,84,2026900084,1150.0,149.0,87.04347826086956
0.7000000000000001,0.0,85,2026900085,666.0,95.0,85.73573573573573
0.7000000000000001,0.0,86,2026900086,1029.0,200.0,80.56365403304179
0.7000000000000001,0.0,87,2026900087,711.0,119.00000000000001,83.26300984528832
0.7000000000000001,0.0,88,2026900088,1261.0,163.0,87.07375099127677
0.7000000000000001,0.0,89,2026900089,1152.0,158.0,86.28472222222223
0.7000000000000001,0.0,90,2026900090,618.0,57.0,90.77669902912622
0.7000000000000001,0.0,91,2026900091,745.0,118.0,84.16107382550335
0.7000000000000001,0.0,92,2026900092,581.0,91.0,84.33734939759036
0.7000000000000001,0.0,93,2026900093,707.0,137.0,80.62234794908062
0.7000000000000001,0.0,94,2026900094,864.0,100.0,88.42592592592592
0.7000000000000001,0.0,95,2026900095,766.0,139.0,81.8537859007833
0.7000000000000001,0.0,96,2026900096,680.0,97.0,85.73529411764706
0.7000000000000001,0.0,97,2026900097,662.0,124.0,81.26888217522658
0.7000000000000001,0.0,98,2026900098,874.0,154.0,82.37986270022883
0.7000000000000001,0.0,99,2026900099,721.0,135.0,81.2760055478502
0.8,0.0,0,2026900000,938.0,123.0,86.88699360341151
0.8,0.0,1,2026900001,959.0,96.0,89.9895724713243
0.8,0.0,2,2026900002,806.0,92.0,88.58560794044665
0.8,0.0,3,2026900003,969.0000000000001,126.0,86.9969040247678
0.8,0.0,4,2026900004,921.0,134.0,85.45059717698155
0.8,0.0,5,2026900005,1061.0,155.0,85.39114043355325
0.8,0.0,6,2026900006,758.0,91.0,87.99472295514512
0.8,0.0,7,2026900007,1272.0,150.0,88.20754716981132
0.8,0.0,8,2026900008,705.0,88.0,87.51773049645391
0.8,0.0,9,2026900009,814.0,102.00000000000001,87.46928746928747
0.8,0.0,10,2026900010,972.0,100.0,89.7119341563786
0.8,0.0,11,2026900011,892.0000000000001,134.0,84.97757847533633
0.8,0.0,12,2026900012,718.0,112.99999999999999,84.26183844011142
0.8,0.0,13,2026900013,852.9999999999999,115.0,86.51817116060961
0.8,0.0,14,2026900014,880.0,99.0,88.75
0.8,0.0,15,2026900015,837.0000000000001,131.0,84.34886499402629
0.8,0.0,16,2026900016,683.0,103.00000000000001,84.9194729136164
0.8,0.0,17,2026900017,727.0,100.0,86.24484181568089
0.8,0.0,18,2026900018,788.0,98.0,87.56345177664974
0.8,0.0,19,2026900019,911.0,88.0,90.34028540065862
0.8,0.0,20,2026900020,835.0,125.0,85.02994011976048
0.8,0.0,21,2026900021,867.0000000000001,133.0,84.65974625144176
0.8,0.0,22,2026900022,629.0,82.0,86.96343402225754
0.8,0.0,23,2026900023,820.0000000000001,133.0,83.78048780487805
0.8,0.0,24,2026900024,835.0,94.0,88.74251497005989
0.8,0.0,25,2026900025,723.0,83.0,88.52005532503458
0.8,0.0,26,2026900026,734.0,91.0,87.60217983651226
0.8,0.0,27,2026900027,885.0,102.00000000000001,88.47457627118644
0.8,0.0,28,2026900028,899.9999999999999,107.0,88.1111111111111
0.8,0.0,29,2026900029,556.0,98.0,82.37410071942446
0.8,0.0,30,2026900030,1207.0,95.0,92.12924606462303
0.8,0.0,31,2026900031,706.0,103.99999999999999,85.26912181303116
0.8,0.0,32,2026900032,972.0,112.99999999999999,88.37448559670781
0.8,0.0,33,2026900033,678.0,112.99999999999999,83.33333333333333
0.8,0.0,34,2026900034,580.0,88.0,84.82758620689656
0.8,0.0,35,2026900035,582.0,86.0,85.2233676975945
0.8,0.0,36,2026900036,852.0,102.00000000000001,88.02816901408451
0.8,0.0,37,2026900037,728.0,119.00000000000001,83.65384615384616
0.8,0.0,38,2026900038,652.0,134.0,79.4478527607362
0.8,0.0,39,2026900039,891.0,102.00000000000001,88.55218855218855
0.8,0.0,40,2026900040,831.9999999999999,122.0,85.33653846153845
0.8,0.0,41,2026900041,861.0,99.0,88.50174216027875
0.8,0.0,42,2026900042,963.0,88.0,90.86188992731049
0.8,0.0,43,2026900043,715.0,102.00000000000001,85.73426573426573
0.8,0.0,44,2026900044,1025.0,120.99999999999999,88.1951219512195
0.8,0.0,45,2026900045,496.0,90.0,81.85483870967742
0.8,0.0,46,2026900046,915.0,91.0,90.05464480874316
0.8,0.0,47,2026900047,911.0,120.99999999999999,86.7178924259056
0.8,0.0,48,2026900048,638.0,91.0,85.73667711598746
0.8,0.0,49,2026900049,810.0,146.0,81.9753086419753
0.8,0.0,50,2026900050,955.0,126.0,86.80628272251309
0.8,0.0,51,2026900051,724.0,59.0,91.85082872928177
0.8,0.0,52,2026900052,961.0,143.0,85.11966701352758
0.8,0.0,53,2026900053,1010.9999999999999,140.0,86.15232443125618
0.8,0.0,54,2026900054,1045.0,94.0,91.00478468899522
0.8,0.0,55,2026900055,831.0,103.99999999999999,87.48495788206979
0.8,0.0,56,2026900056,737.0,115.0,84.39620081411127
0.8,0.0,57,2026900057,817.0,111.00000000000001,86.41370869033048
0.8,0.0,58,2026900058,912.9999999999999,127.00000000000001,86.08981380065717
0.8,0.0,59,2026900059,675.0,87.0,87.11111111111111
0.8,0.0,60,2026900060,958.0,138.0,85.59498956158664
0.8,0.0,61,2026900061,1018.9999999999999,125.0,87.73307163886163
0.8,0.0,62,2026900062,955.0,157.0,83.56020942408377
0.8,0.0,63,2026900063,651.0,110.0,83.10291858678956
0.8,0.0,64,2026900064,976.9999999999999,146.0,85.05629477993858
0.8,0.0,65,2026900065,776.0,120.99999999999999,84.40721649484536
0.8,0.0,66,2026900066,851.0,87.0,89.77673325499413
0.8,0.0,67,2026900067,969.0000000000001,120.99999999999999,87.51289989680083
0.8,0.0,68,2026900068,567.0,96.0,83.06878306878306
0.8,0.0,69,2026900069,876.0,119.99999999999999,86.3013698630137
0.8,0.0,70,2026900070,876.0,118.0,86.5296803652968
0.8,0.0,71,2026900071,765.0,80.0,89.54248366013071
0.8,0.0,72,2026900072,681.0,96.0,85.90308370044053
0.8,0.0,73,2026900073,1149.0,162.0,85.90078328981723
0.8,0.0,74,2026900074,587.0,82.0,86.03066439522998
0.8,0.0,75,2026900075,577.0,87.0,84.92201039861352
0.8,0.0,76,2026900076,859.0,131.0,84.74970896391153
0.8,0.0,77,2026900077,847.0,103.00000000000001,87.83943329397874
0.8,0.0,78,2026900078,908.0,141.0,84.47136563876651
0.8,0.0,79,2026900079,483.0,64.0,86.74948240165631
0.8,0.0,80,2026900080,1164.0,122.0,89.51890034364261
0.8,0.0,81,2026900081,709.0,91.0,87.16502115655854
0.8,0.0,82,2026900082,741.0,83.0,88.79892037786774
0.8,0.0,83,2026900083,923.0,114.0,87.6489707475623
0.8,0.0,84,2026900084,1150.0,108.0,90.6086956521739
0.8,0.0,85,2026900085,666.0,95.0,85.73573573573573
0.8,0.0,86,2026900086,1029.0,125.0,87.85228377065111
0.8,0.0,87,2026900087,711.0,133.0,81.29395218002813
0.8,0.0,88,2026900088,1261.0,134.0,89.37351308485329
0.8,0.0,89,2026900089,1152.0,144.0,87.5
0.8,0.0,90,2026900090,618.0,48.0,92.23300970873787
0.8,0.0,91,2026900091,745.0,103.99999999999999,86.04026845637584
0.8,0.0,92,2026900092,581.0,84.0,85.5421686746988
0.8,0.0,93,2026900093,707.0,128.0,81.8953323903819
0.8,0.0,94,2026900094,864.0,96.0,88.88888888888889
0.8,0.0,95,2026900095,766.0,118.0,84.59530026109661
0.8,0.0,96,2026900096,680.0,111.99999999999999,83.52941176470588
0.8,0.0,97,2026900097,662.0,103.99999999999999,84.29003021148036
0.8,0.0,98,2026900098,874.0,133.0,84.78260869565217
0.8,0.0,99,2026900099,721.0,97.0,86.54646324549238
0.6,0.0,0,2026900000,938.0,158.0,83.15565031982942
0.6,0.0,1,2026900001,959.0,149.0,84.46298227320125
0.6,0.0,2,2026900002,806.0,142.0,82.38213399503722
0.6,0.0,3,2026900003,969.0000000000001,200.0,79.36016511867906
0.6,0.0,4,2026900004,921.0,187.0,79.69598262757872
0.6,0.0,5,2026900005,1061.0,216.0,79.64184731385485
0.6,0.0,6,2026900006,758.0,198.0,73.87862796833772
0.6,0.0,7,2026900007,1272.0,216.0,83.01886792452831
0.6,0.0,8,2026900008,705.0,130.0,81.56028368794327
0.6,0.0,9,2026900009,814.0,150.0,81.57248157248158
0.6,0.0,10,2026900010,972.0,173.0,82.20164609053498
0.6,0.0,11,2026900011,892.0000000000001,168.0,81.16591928251121
0.6,0.0,12,2026900012,718.0,160.0,77.7158774373259
0.6,0.0,13,2026900013,852.9999999999999,218.0,74.44314185228605
0.6,0.0,14,2026900014,880.0,151.0,82.8409090909091
0.6,0.0,15,2026900015,837.0000000000001,212.0,74.67144563918758
0.6,0.0,16,2026900016,683.0,145.0,78.7701317715959
