analysis,base_deaths,coverage,max_vaccines,mortality_reduction_pct,radius,replicate,risk,scenario_deaths,seed,ve_i,ve_m
fig3_risk_compensation,806.0,0.4,0,77.04714640198512,2,49,1.0,185.0,2026706049,0.9,0.9
fig3_risk_compensation,1364.0,0.4,0,85.19061583577712,2,50,1.0,202.0,2026706050,0.9,0.9
fig3_risk_compensation,1354.0,0.4,0,82.49630723781388,2,51,1.0,237.00000000000003,2026706051,0.9,0.9
fig3_risk_compensation,840.0,0.4,0,75.71428571428571,2,52,1.0,204.00000000000003,2026706052,0.9,0.9
fig3_risk_compensation,860.0,0.4,0,72.55813953488372,2,53,1.0,236.0,2026706053,0.9,0.9
fig3_risk_compensation,1327.0,0.4,0,77.54333082140165,2,54,1.0,298.0,2026706054,0.9,0.9
fig3_risk_compensation,1246.0,0.4,0,74.07704654895666,2,55,1.0,323.0,2026706055,0.9,0.9
fig3_risk_compensation,1031.0,0.4,0,78.46750727449079,2,56,1.0,222.00000000000003,2026706056,0.9,0.9
fig3_risk_compensation,1565.0,0.4,0,80.7667731629393,2,57,1.0,301.0,2026706057,0.9,0.9
fig3_risk_compensation,1259.0,0.4,0,85.14694201747419,2,58,1.0,187.0,2026706058,0.9,0.9
fig3_risk_compensation,1396.0,0.4,0,84.45558739255014,2,59,1.0,217.0,2026706059,0.9,0.9
fig3_risk_compensation,1174.0,0.4,0,84.24190800681431,2,60,1.0,185.0,2026706060,0.9,0.9
fig3_risk_compensation,1063.0,0.4,0,79.9623706491063,2,61,1.0,213.0,2026706061,0.9,0.9
fig3_risk_compensation,1388.0,0.4,0,82.20461095100865,2,62,1.0,247.0,2026706062,0.9,0.9
fig3_risk_compensation,1377.0,0.4,0,83.73275236020334,2,63,1.0,223.99999999999997,2026706063,0.9,0.9
fig3_risk_compensation,1474.0,0.4,0,82.08955223880596,2,64,1.0,264.0,2026706064,0.9,0.9
fig3_risk_compensation,884.0000000000001,0.4,0,84.04977375565612,2,65,1.0,141.0,2026706065,0.9,0.9
fig3_risk_compensation,1442.0,0.4,0,79.47295423023579,2,66,1.0,296.0,2026706066,0.9,0.9
fig3_risk_compensation,1113.0,0.4,0,80.05390835579514,2,67,1.0,222.00000000000003,2026706067,0.9,0.9
fig3_risk_compensation,984.0,0.4,0,74.28861788617886,2,68,1.0,253.0,2026706068,0.9,0.9
fig3_risk_compensation,1335.0,0.4,0,79.17602996254682,2,69,1.0,278.0,2026706069,0.9,0.9
fig3_risk_compensation,1413.0,0.4,0,84.07643312101911,2,70,1.0,224.99999999999997,2026706070,0.9,0.9
fig3_risk_compensation,1213.0,0.4,0,80.13190436933223,2,71,1.0,240.99999999999997,2026706071,0.9,0.9
fig3_risk_compensation,1399.0,0.4,0,74.76769120800571,2,72,1.0,353.0,2026706072,0.9,0.9
fig3_risk_compensation,1047.0,0.4,0,78.22349570200574,2,73,1.0,228.0,2026706073,0.9,0.9
fig3_risk_compensation,1178.0,0.4,0,82.68251273344652,2,74,1.0,204.00000000000003,2026706074,0.9,0.9
fig3_risk_compensation,1295.0,0.4,0,80.38610038610038,2,75,1.0,254.00000000000003,2026706075,0.9,0.9
fig3_risk_compensation,618.0,0.4,0,76.69902912621359,2,76,1.0,144.0,2026706076,0.9,0.9
fig3_risk_compensation,1084.0,0.4,0,75.46125461254613,2,77,1.0,266.0,2026706077,0.9,0.9
fig3_risk_compensation,976.9999999999999,0.4,0,76.97031729785056,2,78,1.0,224.99999999999997,2026706078,0.9,0.9
fig3_risk_compensation,743.0,0.4,0,84.11843876177659,2,79,1.0,118.0,2026706079,0.9,0.9
fig3_risk_compensation,1341.0,0.4,0,78.89634601043997,2,80,1.0,283.0,2026706080,0.9,0.9
fig3_risk_compensation,1308.0,0.4,0,78.89908256880734,2,81,1.0,276.0,2026706081,0.9,0.9
fig3_risk_compensation,1081.0,0.4,0,79.64847363552266,2,82,1.0,220.0,2026706082,0.9,0.9
fig3_risk_compensation,923.0,0.4,0,73.2394366197183,2,83,1.0,247.0,2026706083,0.9,0.9
fig3_risk_compensation,749.0,0.4,0,75.56742323097463,2,84,1.0,183.0,2026706084,0.9,0.9
fig3_risk_compensation,1012.0,0.4,0,80.8300395256917,2,85,1.0,194.0,2026706085,0.9,0.9
fig3_risk_compensation,769.0,0.4,0,72.8218465539662,2,86,1.0,208.99999999999997,2026706086,0.9,0.9
fig3_risk_compensation,936.0,0.4,0,76.81623931623932,2,87,1.0,217.0,2026706087,0.9,0.9
fig3_risk_compensation,1343.0,0.4,0,79.07669396872673,2,88,1.0,281.0,2026706088,0.9,0.9
fig3_risk_compensation,1150.0,0.4,0,80.17391304347827,2,89,1.0,228.0,2026706089,0.9,0.9
fig3_risk_compensation,993.9999999999999,0.4,0,79.27565392354124,2,90,1.0,206.00000000000003,2026706090,0.9,0.9
fig3_risk_compensation,1205.0,0.4,0,83.23651452282158,2,91,1.0,202.0,2026706091,0.9,0.9
fig3_risk_compensation,1101.0,0.4,0,78.2016348773842,2,92,1.0,239.99999999999997,2026706092,0.9,0.9
fig3_risk_compensation,1631.0000000000002,0.4,0,83.38442673206622,2,93,1.0,271.0,2026706093,0.9,0.9
fig3_risk_compensation,1344.0,0.4,0,78.79464285714286,2,94,1.0,285.0,2026706094,0.9,0.9
fig3_risk_compensation,1621.9999999999998,0.4,0,84.89519112207151,2,95,1.0,245.0,2026706095,0.9,0.9
fig3_risk_compensation,971.0,0.4,0,76.82801235839341,2,96,1.0,224.99999999999997,2026706096,0.9,0.9
fig3_risk_compensation,1028.0,0.4,0,74.41634241245136,2,97,1.0,263.0,2026706097,0.9,0.9
fig3_risk_compensation,1162.0,0.4,0,73.14974182444062,2,98,1.0,312.0,2026706098,0.9,0.9
fig3_risk_compensation,1295.0,0.4,0,82.54826254826254,2,99,1.0,225.99999999999997,2026706099,0.9,0.9
fig3_risk_compensation,1389.0,0.4,0,83.22534197264218,2,0,1.0,233.0,2026705000,0.75,0.75
fig3_risk_compensation,965.0000000000001,0.4,0,76.99481865284974,2,1,1.0,222.00000000000003,2026705001,0.75,0.75
fig3_risk_compensation,1187.0,0.4,0,76.832350463353,2,2,1.0,275.0,2026705002,0.75,0.75
fig3_risk_compensation,716.0,0.4,0,74.30167597765363,2,3,1.0,184.0,2026705003,0.75,0.75
fig3_risk_compensation,984.9999999999999,0.4,0,75.32994923857868,2,4,1.0,243.0,2026705004,0.75,0.75
fig3_risk_compensation,1030.0,0.4,0,79.90291262135922,2,5,1.0,206.99999999999997,2026705005,0.75,0.75
fig3_risk_compensation,1302.0,0.4,0,82.94930875576037,2,6,1.0,222.00000000000003,2026705006,0.75,0.75
fig3_risk_compensation,1270.0,0.4,0,74.88188976377953,2,7,1.0,319.0,2026705007,0.75,0.75
fig3_risk_compensation,1063.0,0.4,0,77.89275634995296,2,8,1.0,235.0,2026705008,0.75,0.75
fig3_risk_compensation,1455.0,0.4,0,76.49484536082474,2,9,1.0,342.0,2026705009,0.75,0.75
fig3_risk_compensation,1263.0,0.4,0,74.03008709422011,2,10,1.0,328.0,2026705010,0.75,0.75
fig3_risk_compensation,869.0,0.4,0,73.99309551208286,2,11,1.0,225.99999999999997,2026705011,0.75,0.75
fig3_risk_compensation,1158.0,0.4,0,77.28842832469776,2,12,1.0,263.0,2026705012,0.75,0.75
fig3_risk_compensation,955.0,0.4,0,81.15183246073299,2,13,1.0,180.0,2026705013,0.75,0.75
fig3_risk_compensation,1169.0,0.4,0,78.78528656971771,2,14,1.0,248.0,2026705014,0.75,0.75
