draw_id,scenario,mean_cases,mean_deaths,mean_doses,comparator_mean_deaths,deaths_averted_pct
23,ring1_vax_enh_ops,780.5,348.74,7763.4,1408.72,75.24419331023908
23,comm_base_20,1415.56,619.78,20000.0,1205.5,48.58730817088345
23,comm_base_40,810.12,338.92,40000.0,1205.5,71.88552467855662
23,comm_base_60,492.24,196.84,60000.0,1205.5,83.67150559933637
23,comm_base_80,334.3,125.7,80000.0,1205.5,89.57279137287432
25,no_vax_base_ops,3613.42,1645.02,0.0,1645.02,0.0
25,vax_base_ops,3324.52,1501.28,7790.78,1645.02,8.737887685256107
25,no_vax_enh_ops,407.14,184.62,0.0,1645.02,88.7770361454572
25,vax_enh_ops,399.0,180.16,8339.6,1645.02,89.0481574692101
25,incremental_ring_vax,399.0,180.16,8339.6,184.62,2.4157729390098623
25,no_vax_ring1_base_ops,4328.68,1967.24,0.0,1645.02,-19.587603798130118
25,no_vax_ring1_enh_ops,485.46,219.54,0.0,1967.24,88.84020251723227
25,ring1_vax_base_ops,4195.3,1896.56,4804.84,1967.24,3.5928508977044014
25,ring1_vax_enh_ops,462.52,207.58,7247.8,1967.24,89.4481608751347
25,comm_base_20,2080.66,914.28,20000.0,1645.02,44.42134442134442
25,comm_base_40,1202.66,507.36,40000.0,1645.02,69.15782178940073
25,comm_base_60,759.24,305.2,60000.0,1645.02,81.44703407861303
25,comm_base_80,523.68,197.12,80000.0,1645.02,88.01716696453539
24,no_vax_base_ops,3703.6,1672.8,0.0,1672.8,0.0
24,vax_base_ops,3313.62,1487.04,7848.72,1672.8,11.104734576757533
24,no_vax_enh_ops,515.72,233.46,0.0,1672.8,86.04375896700144
24,vax_enh_ops,506.08,227.96,8254.18,1672.8,86.37254901960785
24,incremental_ring_vax,506.08,227.96,8254.18,233.46,2.3558639595648074
24,no_vax_ring1_base_ops,4691.26,2123.84,0.0,1672.8,-26.963175514108094
24,no_vax_ring1_enh_ops,905.14,408.94,0.0,2123.84,80.74525387976495
24,ring1_vax_base_ops,4388.66,1975.08,5660.86,2123.84,7.004294108784099
24,ring1_vax_enh_ops,847.68,380.28,7913.38,2123.84,82.09469639897544
24,comm_base_20,1830.82,806.14,20000.0,1672.8,51.8089430894309
24,comm_base_40,942.92,401.44,40000.0,1672.8,76.00191296030607
24,comm_base_60,551.54,223.98,60000.0,1672.8,86.61047345767575
24,comm_base_80,369.3,138.18,80000.0,1672.8,91.73959827833573
30,no_vax_base_ops,1624.0,738.2,0.0,738.2,0.0
30,vax_base_ops,1535.54,693.62,7829.72,738.2,6.0390138173936645
30,no_vax_enh_ops,362.34,164.98,0.0,738.2,77.6510430777567
30,vax_enh_ops,353.34,159.82,8250.24,738.2,78.35004063939313
30,incremental_ring_vax,353.34,159.82,8250.24,164.98,3.127651836586251
30,no_vax_ring1_base_ops,1814.54,824.62,0.0,738.2,-11.706854510972631
30,no_vax_ring1_enh_ops,480.66,219.62,0.0,824.62,73.3671266765298
30,ring1_vax_base_ops,1724.78,779.62,2489.86,824.62,5.457059008998084
30,ring1_vax_enh_ops,445.28,199.44,6672.84,824.62,75.8143144721205
30,comm_base_20,1057.14,465.96,20000.0,738.2,36.87889460850719
