scenario,n_draws,median_deaths_averted_pct,ui_low_95,ui_high_95,mean_deaths_averted_pct
comm_base_20,200,44.670222938806404,34.762298962208945,52.521634604750304,44.05148421118754
comm_base_40,200,67.43471149275778,56.16184035455456,74.30821660234781,66.9187396469024
comm_base_60,200,79.80826355826973,70.44713831348744,85.29279624033877,79.16615036307121
comm_base_80,200,86.62354038078911,79.15041631694405,90.44540718054421,85.95931931100034
incremental_ring_vax,200,10.547595398116176,6.180255110648491,15.629883833025865,10.724701534450833
no_vax_base_ops,200,0.0,0.0,0.0,0.0
no_vax_enh_ops,200,81.59917842794016,73.09887958491576,87.73776935749575,81.46781186535044
no_vax_ring1_base_ops,200,-37.8834847740865,-60.7961417725002,-22.16514824189162,-39.2692732926806
no_vax_ring1_enh_ops,200,81.01068639447998,67.29682006325167,89.95031100624605,80.65126678277558
ring1_vax_base_ops,200,11.605718074649072,5.3778013813844945,17.027876147560253,11.664429321739057
ring1_vax_enh_ops,200,84.16346069607773,71.12609143351281,91.50774596718757,83.86677333589458
vax_base_ops,200,24.582034317581673,17.95403497446582,29.64373548604421,24.292660485027444
vax_enh_ops,200,83.55580675206082,76.3644119508238,89.01972332928615,83.46700360665851
