draw_id,scenario,mean_cases,mean_deaths,mean_doses,comparator_mean_deaths,deaths_averted_pct
0,comm_base_20,939.32,414.04,20000.0,744.4,44.379365932294455
0,comm_base_40,571.94,242.38,40000.0,744.4,67.43954862976895
0,comm_base_60,351.1,140.48,60000.0,744.4,81.12842557764642
0,comm_base_80,249.22,93.18,80000.0,744.4,87.48253627082214
6,no_vax_base_ops,2427.3,1104.8,0.0,1104.8,0.0
6,vax_base_ops,1808.54,807.32,7308.32,1104.8,26.926140477914547
6,no_vax_enh_ops,453.38,204.56,0.0,1104.8,81.48443157132513
6,vax_enh_ops,412.22,182.74,7989.4,1104.8,83.45944967414917
6,incremental_ring_vax,412.22,182.74,7989.4,204.56,10.66679702776691
6,no_vax_ring1_base_ops,3618.18,1647.38,0.0,1104.8,-49.111151339608995
6,no_vax_ring1_enh_ops,787.02,357.9,0.0,1647.38,78.2745935971057
6,ring1_vax_base_ops,3143.08,1415.28,3101.5,1647.38,14.089038351807119
6,ring1_vax_enh_ops,656.82,289.0,5157.8,1647.38,82.45699231506998
6,comm_base_20,1233.42,548.16,20000.0,1104.8,50.38377986965967
6,comm_base_40,700.54,297.92,40000.0,1104.8,73.03403330919622
6,comm_base_60,428.7,172.54,60000.0,1104.8,84.38269370021723
6,comm_base_80,308.94,118.86,80000.0,1104.8,89.24149167270095
7,no_vax_base_ops,2291.7,1041.84,0.0,1041.84,0.0
7,vax_base_ops,1837.26,810.96,7275.54,1041.84,22.160792444137286
7,no_vax_enh_ops,460.34,209.9,0.0,1041.84,79.85295246870922
7,vax_enh_ops,419.5,188.46,7961.86,1041.84,81.91085003455424
7,incremental_ring_vax,419.5,188.46,7961.86,209.9,10.214387803716056
7,no_vax_ring1_base_ops,3366.66,1525.76,0.0,1041.84,-46.44859095446519
7,no_vax_ring1_enh_ops,756.54,342.64,0.0,1525.76,77.54299496644295
7,ring1_vax_base_ops,3021.74,1352.96,3355.98,1525.76,11.325503355704695
7,ring1_vax_enh_ops,669.28,296.44,5181.52,1525.76,80.57099412751678
7,comm_base_20,1378.24,605.22,20000.0,1041.84,41.90854641787605
7,comm_base_40,859.18,361.74,40000.0,1041.84,65.27873761806035
7,comm_base_60,589.12,236.6,60000.0,1041.84,77.29017891422866
7,comm_base_80,415.62,159.1,80000.0,1041.84,84.72894110420026
8,no_vax_base_ops,1776.12,807.52,0.0,807.52,0.0
