strategy,n_replicates,n_extinct,fraction_extinct,wilson95_low,wilson95_high,median_extinction_time,extinction_time_q25,extinction_time_q75,median_deaths,deaths_q25,deaths_q75
no_vax_base_ops,500,0,0.0,4.336808689942018e-19,0.007624340461552241,nan,nan,nan,1089.0,964.75,1230.25
no_vax_enh_ops,500,46,0.092,0.06968272368045207,0.12053873813617456,84.24277217785317,80.30217358207236,87.51638960639755,167.0,144.75,190.25
comm_base_40,500,0,0.0,4.336808689942018e-19,0.007624340461552241,nan,nan,nan,349.0,304.5,403.25
comm_base_60,500,0,0.0,4.336808689942018e-19,0.007624340461552241,nan,nan,nan,211.0,185.0,243.0
