scenario,strategy,n_draws,doses_median,doses_iqr_low,doses_iqr_high,doses_n,deaths_averted_median,deaths_averted_iqr_low,deaths_averted_iqr_high,deaths_averted_n,doses_per_death_averted_median,doses_per_death_averted_iqr_low,doses_per_death_averted_iqr_high,doses_per_death_averted_n
ring1_vax_base_ops,Ring 1 + base operations,200,4381.4400000000005,3702.425,5146.535,200,62.000000000000114,43.78499999999997,100.53000000000003,200,68.2063357576357,51.105023182779476,93.27080175733244,200
vax_base_ops,Ring 2 + base operations,200,7926.7,7865.51,7999.58,200,88.84000000000003,67.77500000000006,118.08000000000004,200,89.45578908149685,66.65823281335186,117.96694508709018,200
ring1_vax_enh_ops,Ring 1 + enhanced operations,200,7380.91,6681.885,7743.53,200,1018.67,780.8900000000001,1348.37,200,6.9890023969970585,5.243065845441729,9.277622649197463,200
vax_enh_ops,Ring 2 + enhanced operations,200,8275.85,8236.119999999999,8336.54,200,937.19,753.745,1174.0249999999999,200,8.85019861193551,7.049227061399252,10.924525422449992,200
comm_base_20,Community vaccination 20%,200,20000.0,20000.0,20000.0,200,496.7199999999999,394.9,633.43,200,40.26499600719778,31.577340263428766,50.64621220389663,200
comm_base_40,Community vaccination 40%,200,40000.0,40000.0,40000.0,200,774.84,608.9749999999999,952.7249999999999,200,51.62368897398173,41.984853530863106,65.68414363055871,200
comm_base_60,Community vaccination 60%,200,60000.0,60000.0,60000.0,200,911.31,721.43,1106.4750000000001,200,65.83930381465768,54.22641232382132,83.1684993218485,200
comm_base_80,Community vaccination 80%,200,80000.0,80000.0,80000.0,200,988.4399999999999,791.005,1196.7,200,80.93645343557847,66.85137718315266,101.13934183633879,200
