analysis,base_deaths,coverage,det,max_vaccines,mortality_reduction_pct,replicate,scenario_deaths,seed,trace,ve
fig3_community_ve,814.0,0.0,0.3,0,0.0,56,814.0,2026421056,0.3,0.0
fig3_community_ve,1071.0,0.0,0.3,0,0.0,57,1071.0,2026421057,0.3,0.0
fig3_community_ve,854.0000000000001,0.0,0.3,0,0.0,58,854.0000000000001,2026421058,0.3,0.0
fig3_community_ve,826.0,0.0,0.3,0,0.0,59,826.0,2026421059,0.3,0.0
fig3_community_ve,733.0,0.0,0.3,0,0.0,60,733.0,2026421060,0.3,0.0
fig3_community_ve,793.9999999999999,0.0,0.3,0,0.0,61,793.9999999999999,2026421061,0.3,0.0
fig3_community_ve,736.0,0.0,0.3,0,0.0,62,736.0,2026421062,0.3,0.0
fig3_community_ve,1178.0,0.0,0.3,0,0.0,63,1178.0,2026421063,0.3,0.0
fig3_community_ve,938.0,0.0,0.3,0,0.0,64,938.0,2026421064,0.3,0.0
fig3_community_ve,830.0,0.0,0.3,0,0.0,65,830.0,2026421065,0.3,0.0
fig3_community_ve,818.9999999999999,0.0,0.3,0,0.0,66,818.9999999999999,2026421066,0.3,0.0
fig3_community_ve,903.9999999999999,0.0,0.3,0,0.0,67,903.9999999999999,2026421067,0.3,0.0
fig3_community_ve,920.0,0.0,0.3,0,0.0,68,920.0,2026421068,0.3,0.0
fig3_community_ve,763.0,0.0,0.3,0,0.0,69,763.0,2026421069,0.3,0.0
fig3_community_ve,829.0,0.0,0.3,0,0.0,70,829.0,2026421070,0.3,0.0
fig3_community_ve,667.0,0.0,0.3,0,0.0,71,667.0,2026421071,0.3,0.0
fig3_community_ve,818.0,0.0,0.3,0,0.0,72,818.0,2026421072,0.3,0.0
fig3_community_ve,765.0,0.0,0.3,0,0.0,73,765.0,2026421073,0.3,0.0
fig3_community_ve,993.9999999999999,0.0,0.3,0,0.0,74,993.9999999999999,2026421074,0.3,0.0
fig3_community_ve,1105.0,0.0,0.3,0,0.0,75,1105.0,2026421075,0.3,0.0
fig3_community_ve,662.0,0.0,0.3,0,0.0,76,662.0,2026421076,0.3,0.0
fig3_community_ve,1145.0,0.0,0.3,0,0.0,77,1145.0,2026421077,0.3,0.0
fig3_community_ve,1091.0,0.0,0.3,0,0.0,78,1091.0,2026421078,0.3,0.0
fig3_community_ve,771.0,0.0,0.3,0,0.0,79,771.0,2026421079,0.3,0.0
fig3_community_ve,938.0,0.0,0.3,0,0.0,80,938.0,2026421080,0.3,0.0
fig3_community_ve,638.0,0.0,0.3,0,0.0,81,638.0,2026421081,0.3,0.0
fig3_community_ve,602.0,0.0,0.3,0,0.0,82,602.0,2026421082,0.3,0.0
fig3_community_ve,771.0,0.0,0.3,0,0.0,83,771.0,2026421083,0.3,0.0
fig3_community_ve,616.0,0.0,0.3,0,0.0,84,616.0,2026421084,0.3,0.0
fig3_community_ve,754.0,0.0,0.3,0,0.0,85,754.0,2026421085,0.3,0.0
fig3_community_ve,854.0000000000001,0.0,0.3,0,0.0,86,854.0000000000001,2026421086,0.3,0.0
fig3_community_ve,1120.0,0.0,0.3,0,0.0,87,1120.0,2026421087,0.3,0.0
fig3_community_ve,793.0,0.0,0.3,0,0.0,88,793.0,2026421088,0.3,0.0
fig3_community_ve,657.0,0.0,0.3,0,0.0,89,657.0,2026421089,0.3,0.0
fig3_community_ve,949.0,0.0,0.3,0,0.0,90,949.0,2026421090,0.3,0.0
fig3_community_ve,831.9999999999999,0.0,0.3,0,0.0,91,831.9999999999999,2026421091,0.3,0.0
fig3_community_ve,714.0,0.0,0.3,0,0.0,92,714.0,2026421092,0.3,0.0
fig3_community_ve,789.0,0.0,0.3,0,0.0,93,789.0,2026421093,0.3,0.0
fig3_community_ve,1374.0,0.0,0.3,0,0.0,94,1374.0,2026421094,0.3,0.0
fig3_community_ve,842.0,0.0,0.3,0,0.0,95,842.0,2026421095,0.3,0.0
fig3_community_ve,500.99999999999994,0.0,0.3,0,0.0,96,500.99999999999994,2026421096,0.3,0.0
fig3_community_ve,848.0,0.0,0.3,0,0.0,97,848.0,2026421097,0.3,0.0
fig3_community_ve,762.0,0.0,0.3,0,0.0,98,762.0,2026421098,0.3,0.0
fig3_community_ve,644.0,0.0,0.3,0,0.0,99,644.0,2026421099,0.3,0.0
fig3_community_ve,679.0,0.0,0.3,0,0.0,0,679.0,2026422000,0.3,0.15
fig3_community_ve,754.0,0.0,0.3,0,0.0,1,754.0,2026422001,0.3,0.15
fig3_community_ve,963.0,0.0,0.3,0,0.0,2,963.0,2026422002,0.3,0.15
fig3_community_ve,839.0,0.0,0.3,0,0.0,3,839.0,2026422003,0.3,0.15
fig3_community_ve,813.0,0.0,0.3,0,0.0,4,813.0,2026422004,0.3,0.15
fig3_community_ve,971.0,0.0,0.3,0,0.0,5,971.0,2026422005,0.3,0.15
fig3_community_ve,860.0,0.0,0.3,0,0.0,6,860.0,2026422006,0.3,0.15
fig3_community_ve,748.0,0.0,0.3,0,0.0,7,748.0,2026422007,0.3,0.15
fig3_community_ve,882.0,0.0,0.3,0,0.0,8,882.0,2026422008,0.3,0.15
fig3_community_ve,703.0,0.0,0.3,0,0.0,9,703.0,2026422009,0.3,0.15
fig3_community_ve,814.0,0.0,0.3,0,0.0,10,814.0,2026422010,0.3,0.15
fig3_community_ve,754.0,0.0,0.3,0,0.0,11,754.0,2026422011,0.3,0.15
fig3_community_ve,810.9999999999999,0.0,0.3,0,0.0,12,810.9999999999999,2026422012,0.3,0.15
fig3_community_ve,520.0,0.0,0.3,0,0.0,13,520.0,2026422013,0.3,0.15
fig3_community_ve,932.0,0.0,0.3,0,0.0,14,932.0,2026422014,0.3,0.15
fig3_community_ve,914.0,0.0,0.3,0,0.0,15,914.0,2026422015,0.3,0.15
fig3_community_ve,939.0000000000001,0.0,0.3,0,0.0,16,939.0000000000001,2026422016,0.3,0.15
fig3_community_ve,601.0,0.0,0.3,0,0.0,17,601.0,2026422017,0.3,0.15
fig3_community_ve,1010.9999999999999,0.0,0.3,0,0.0,18,1010.9999999999999,2026422018,0.3,0.15
fig3_community_ve,684.0,0.0,0.3,0,0.0,19,684.0,2026422019,0.3,0.15
fig3_community_ve,955.0,0.0,0.3,0,0.0,20,955.0,2026422020,0.3,0.15
fig3_community_ve,498.99999999999994,0.0,0.3,0,0.0,21,498.99999999999994,2026422021,0.3,0.15
fig3_community_ve,957.0,0.0,0.3,0,0.0,22,957.0,2026422022,0.3,0.15
fig3_community_ve,830.0,0.0,0.3,0,0.0,23,830.0,2026422023,0.3,0.15
fig3_community_ve,492.0,0.0,0.3,0,0.0,24,492.0,2026422024,0.3,0.15
fig3_community_ve,1341.0,0.0,0.3,0,0.0,25,1341.0,2026422025,0.3,0.15
fig3_community_ve,818.0,0.0,0.3,0,0.0,26,818.0,2026422026,0.3,0.15
fig3_community_ve,759.0,0.0,0.3,0,0.0,27,759.0,2026422027,0.3,0.15
fig3_community_ve,1177.0,0.0,0.3,0,0.0,28,1177.0,2026422028,0.3,0.15
fig3_community_ve,771.0,0.0,0.3,0,0.0,29,771.0,2026422029,0.3,0.15
fig3_community_ve,991.0,0.0,0.3,0,0.0,30,991.0,2026422030,0.3,0.15
fig3_community_ve,611.0,0.0,0.3,0,0.0,31,611.0,2026422031,0.3,0.15
fig3_community_ve,602.0,0.0,0.3,0,0.0,32,602.0,2026422032,0.3,0.15
fig3_community_ve,1075.0,0.0,0.3,0,0.0,33,1075.0,2026422033,0.3,0.15
fig3_community_ve,759.0,0.0,0.3,0,0.0,34,759.0,2026422034,0.3,0.15
fig3_community_ve,682.0,0.0,0.3,0,0.0,35,682.0,2026422035,0.3,0.15
fig3_community_ve,1243.0,0.0,0.3,0,0.0,36,1243.0,2026422036,0.3,0.15
fig3_community_ve,962.0,0.0,0.3,0,0.0,37,962.0,2026422037,0.3,0.15
fig3_community_ve,835.0,0.0,0.3,0,0.0,38,835.0,2026422038,0.3,0.15
fig3_community_ve,708.0,0.0,0.3,0,0.0,39,708.0,2026422039,0.3,0.15
fig3_community_ve,1067.0,0.0,0.3,0,0.0,40,1067.0,2026422040,0.3,0.15
fig3_community_ve,824.0000000000001,0.0,0.3,0,0.0,41,824.0000000000001,2026422041,0.3,0.15
fig3_community_ve,620.0,0.0,0.3,0,0.0,42,620.0,2026422042,0.3,0.15
fig3_community_ve,840.0,0.0,0.3,0,0.0,43,840.0,2026422043,0.3,0.15
fig3_community_ve,706.0,0.0,0.3,0,0.0,44,706.0,2026422044,0.3,0.15
fig3_community_ve,607.0,0.0,0.3,0,0.0,45,607.0,2026422045,0.3,0.15
fig3_community_ve,613.0,0.0,0.3,0,0.0,46,613.0,2026422046,0.3,0.15
fig3_community_ve,971.0,0.0,0.3,0,0.0,47,971.0,2026422047,0.3,0.15
fig3_community_ve,923.0,0.0,0.3,0,0.0,48,923.0,2026422048,0.3,0.15
fig3_community_ve,738.0,0.0,0.3,0,0.0,49,738.0,2026422049,0.3,0.15
fig3_community_ve,1062.0,0.0,0.3,0,0.0,50,1062.0,2026422050,0.3,0.15
fig3_community_ve,1071.0,0.0,0.3,0,0.0,51,1071.0,2026422051,0.3,0.15
fig3_community_ve,649.0,0.0,0.3,0,0.0,52,649.0,2026422052,0.3,0.15
fig3_community_ve,783.0,0.0,0.3,0,0.0,53,783.0,2026422053,0.3,0.15
fig3_community_ve,928.0,0.0,0.3,0,0.0,54,928.0,2026422054,0.3,0.15
fig3_community_ve,899.9999999999999,0.0,0.3,0,0.0,55,899.9999999999999,2026422055,0.3,0.15
fig3_community_ve,919.0,0.0,0.3,0,0.0,56,919.0,2026422056,0.3,0.15
fig3_community_ve,797.0,0.0,0.3,0,0.0,57,797.0,2026422057,0.3,0.15
fig3_community_ve,852.0,0.0,0.3,0,0.0,58,852.0,2026422058,0.3,0.15
fig3_community_ve,1064.0,0.0,0.3,0,0.0,59,1064.0,2026422059,0.3,0.15
fig3_community_ve,916.9999999999999,0.0,0.3,0,0.0,60,916.9999999999999,2026422060,0.3,0.15
fig3_community_ve,1059.0,0.0,0.3,0,0.0,61,1059.0,2026422061,0.3,0.15
fig3_community_ve,632.0,0.0,0.3,0,0.0,62,632.0,2026422062,0.3,0.15
fig3_community_ve,611.0,0.0,0.3,0,0.0,63,611.0,2026422063,0.3,0.15
fig3_community_ve,884.0000000000001,0.0,0.3,0,0.0,64,884.0000000000001,2026422064,0.3,0.15
fig3_community_ve,1059.0,0.0,0.3,0,0.0,65,1059.0,2026422065,0.3,0.15
fig3_community_ve,1016.0000000000001,0.0,0.3,0,0.0,66,1016.0000000000001,2026422066,0.3,0.15
fig3_community_ve,696.0,0.0,0.3,0,0.0,67,696.0,2026422067,0.3,0.15
fig3_community_ve,1190.0,0.0,0.3,0,0.0,68,1190.0,2026422068,0.3,0.15
fig3_community_ve,648.0,0.0,0.3,0,0.0,69,648.0,2026422069,0.3,0.15
fig3_community_ve,801.0,0.0,0.3,0,0.0,70,801.0,2026422070,0.3,0.15
fig3_community_ve,675.0,0.0,0.3,0,0.0,71,675.0,2026422071,0.3,0.15
fig3_community_ve,852.9999999999999,0.0,0.3,0,0.0,72,852.9999999999999,2026422072,0.3,0.15
fig3_community_ve,711.0,0.0,0.3,0,0.0,73,711.0,2026422073,0.3,0.15
fig3_community_ve,787.0,0.0,0.3,0,0.0,74,787.0,2026422074,0.3,0.15
fig3_community_ve,741.0,0.0,0.3,0,0.0,75,741.0,2026422075,0.3,0.15
fig3_community_ve,756.0,0.0,0.3,0,0.0,76,756.0,2026422076,0.3,0.15
fig3_community_ve,776.0,0.0,0.3,0,0.0,77,776.0,2026422077,0.3,0.15
fig3_community_ve,881.0,0.0,0.3,0,0.0,78,881.0,2026422078,0.3,0.15
fig3_community_ve,831.0,0.0,0.3,0,0.0,79,831.0,2026422079,0.3,0.15
fig3_community_ve,941.0,0.0,0.3,0,0.0,80,941.0,2026422080,0.3,0.15
fig3_community_ve,692.0,0.0,0.3,0,0.0,81,692.0,2026422081,0.3,0.15
fig3_community_ve,888.0000000000001,0.0,0.3,0,0.0,82,888.0000000000001,2026422082,0.3,0.15
fig3_community_ve,1188.0,0.0,0.3,0,0.0,83,1188.0,2026422083,0.3,0.15
fig3_community_ve,967.0,0.0,0.3,0,0.0,84,967.0,2026422084,0.3,0.15
fig3_community_ve,850.0000000000001,0.0,0.3,0,0.0,85,850.0000000000001,2026422085,0.3,0.15
fig3_community_ve,893.0,0.0,0.3,0,0.0,86,893.0,2026422086,0.3,0.15
fig3_community_ve,757.0,0.0,0.3,0,0.0,87,757.0,2026422087,0.3,0.15
