analysis,base_deaths,coverage,det,max_vaccines,mortality_reduction_pct,replicate,risk,scenario_deaths,seed,trace,ve
fig3_risk_compensation,1127.0,0.4,0.3,0,0.0,51,1.0,1127.0,2026584051,0.3,0.0
fig3_risk_compensation,692.0,0.4,0.3,0,0.0,52,1.0,692.0,2026584052,0.3,0.0
fig3_risk_compensation,714.0,0.4,0.3,0,0.0,53,1.0,714.0,2026584053,0.3,0.0
fig3_risk_compensation,770.0,0.4,0.3,0,0.0,54,1.0,770.0,2026584054,0.3,0.0
fig3_risk_compensation,1072.0,0.4,0.3,0,0.0,55,1.0,1072.0,2026584055,0.3,0.0
fig3_risk_compensation,788.0,0.4,0.3,0,0.0,56,1.0,788.0,2026584056,0.3,0.0
fig3_risk_compensation,874.0,0.4,0.3,0,0.0,57,1.0,874.0,2026584057,0.3,0.0
fig3_risk_compensation,820.0000000000001,0.4,0.3,0,0.0,58,1.0,820.0000000000001,2026584058,0.3,0.0
fig3_risk_compensation,687.0,0.4,0.3,0,0.0,59,1.0,687.0,2026584059,0.3,0.0
fig3_risk_compensation,880.0,0.4,0.3,0,0.0,60,1.0,880.0,2026584060,0.3,0.0
fig3_risk_compensation,646.0,0.4,0.3,0,0.0,61,1.0,646.0,2026584061,0.3,0.0
fig3_risk_compensation,651.0,0.4,0.3,0,0.0,62,1.0,651.0,2026584062,0.3,0.0
fig3_risk_compensation,1082.0,0.4,0.3,0,0.0,63,1.0,1082.0,2026584063,0.3,0.0
fig3_risk_compensation,700.0,0.4,0.3,0,0.0,64,1.0,700.0,2026584064,0.3,0.0
fig3_risk_compensation,644.0,0.4,0.3,0,0.0,65,1.0,644.0,2026584065,0.3,0.0
fig3_risk_compensation,1064.0,0.4,0.3,0,0.0,66,1.0,1064.0,2026584066,0.3,0.0
fig3_risk_compensation,624.0,0.4,0.3,0,0.0,67,1.0,624.0,2026584067,0.3,0.0
fig3_risk_compensation,807.0000000000001,0.4,0.3,0,0.0,68,1.0,807.0000000000001,2026584068,0.3,0.0
fig3_risk_compensation,779.0,0.4,0.3,0,0.0,69,1.0,779.0,2026584069,0.3,0.0
fig3_risk_compensation,693.0,0.4,0.3,0,0.0,70,1.0,693.0,2026584070,0.3,0.0
fig3_risk_compensation,614.0,0.4,0.3,0,0.0,71,1.0,614.0,2026584071,0.3,0.0
fig3_risk_compensation,772.0,0.4,0.3,0,0.0,72,1.0,772.0,2026584072,0.3,0.0
fig3_risk_compensation,818.9999999999999,0.4,0.3,0,0.0,73,1.0,818.9999999999999,2026584073,0.3,0.0
fig3_risk_compensation,703.0,0.4,0.3,0,0.0,74,1.0,703.0,2026584074,0.3,0.0
fig3_risk_compensation,869.9999999999999,0.4,0.3,0,0.0,75,1.0,869.9999999999999,2026584075,0.3,0.0
fig3_risk_compensation,731.0,0.4,0.3,0,0.0,76,1.0,731.0,2026584076,0.3,0.0
