analysis,x,y,median_mortality_reduction_pct
fig3_operations,0.9,1.0,85.3361349856331
fig3_operations,1.0,1.0,87.30197971400717
fig3_community_ve,0.0,0.0,0.0
fig3_community_ve,0.1,0.0,0.0
fig3_community_ve,0.2,0.0,0.0
fig3_community_ve,0.3,0.0,0.0
fig3_community_ve,0.4,0.0,0.0
fig3_community_ve,0.5,0.0,0.0
fig3_community_ve,0.6,0.0,0.0
fig3_community_ve,0.7,0.0,0.0
fig3_community_ve,0.8,0.0,0.0
fig3_community_ve,0.0,0.15,0.0
fig3_community_ve,0.1,0.15,10.482886652922648
fig3_community_ve,0.2,0.15,21.340361174221933
fig3_community_ve,0.3,0.15,28.626563977944738
fig3_community_ve,0.4,0.15,39.31687242798353
fig3_community_ve,0.5,0.15,45.762607198820525
fig3_community_ve,0.6,0.15,52.164541925370756
fig3_community_ve,0.7,0.15,56.819582775156775
fig3_community_ve,0.8,0.15,62.94182861614712
fig3_community_ve,0.0,0.3,0.0
fig3_community_ve,0.1,0.3,19.719335385393762
fig3_community_ve,0.2,0.3,33.33556581826478
fig3_community_ve,0.3,0.3,46.136751290437985
fig3_community_ve,0.4,0.3,58.63684065175366
fig3_community_ve,0.5,0.3,65.05298041202296
fig3_community_ve,0.6,0.3,71.87052783745693
fig3_community_ve,0.7,0.3,77.51119990189167
fig3_community_ve,0.8,0.3,79.94140397865058
fig3_community_ve,0.0,0.45,0.0
fig3_community_ve,0.1,0.45,25.757333732674425
fig3_community_ve,0.2,0.45,43.849550014140036
fig3_community_ve,0.3,0.45,56.770068194769024
fig3_community_ve,0.4,0.45,68.95840248781425
fig3_community_ve,0.5,0.45,75.19827874203077
fig3_community_ve,0.6,0.45,80.09849928263127
fig3_community_ve,0.7,0.45,84.6312205761098
fig3_community_ve,0.8,0.45,87.66100290095318
fig3_community_ve,0.0,0.6,0.0
fig3_community_ve,0.1,0.6,30.98309957740767
fig3_community_ve,0.2,0.6,49.534973911490425
fig3_community_ve,0.3,0.6,65.09758691206544
fig3_community_ve,0.4,0.6,73.81245359430181
fig3_community_ve,0.5,0.6,80.75224154943876
fig3_community_ve,0.6,0.6,85.0160332236513
fig3_community_ve,0.7,0.6,88.22641948119468
fig3_community_ve,0.8,0.6,90.45612491256571
fig3_community_ve,0.0,0.75,0.0
fig3_community_ve,0.1,0.75,33.47756467801632
fig3_community_ve,0.2,0.75,54.2805485586342
fig3_community_ve,0.3,0.75,67.88155527881555
