coverage,delay,replicate,seed,base_deaths,scenario_deaths,mortality_reduction_pct
0.7000000000000001,28.0,19,2026902019,1051.0,487.0,53.663177925784964
0.7000000000000001,28.0,20,2026902020,1169.0,549.0,53.03678357570573
0.7000000000000001,28.0,21,2026902021,1232.0,590.0,52.11038961038961
0.7000000000000001,28.0,22,2026902022,1541.0,623.0,59.57170668397145
0.7000000000000001,28.0,23,2026902023,912.0,371.0,59.32017543859649
0.7000000000000001,28.0,24,2026902024,1048.0,479.99999999999994,54.19847328244275
0.7000000000000001,28.0,25,2026902025,1473.0,646.0,56.1439239646979
0.7000000000000001,28.0,26,2026902026,1007.0000000000001,429.00000000000006,57.3982125124131
0.7000000000000001,28.0,27,2026902027,1333.0,543.0,59.264816204051016
0.7000000000000001,28.0,28,2026902028,1027.0,417.0,59.39629990262902
0.7000000000000001,28.0,29,2026902029,942.0,432.99999999999994,54.0339702760085
0.7000000000000001,28.0,30,2026902030,663.0,339.0,48.86877828054298
0.7000000000000001,28.0,31,2026902031,1044.0,409.0,60.82375478927203
0.7000000000000001,28.0,32,2026902032,1260.0,567.0,55.0
0.7000000000000001,28.0,33,2026902033,809.0,378.0,53.27564894932015
0.7000000000000001,28.0,34,2026902034,1169.0,548.0,53.122326775021385
0.7000000000000001,28.0,35,2026902035,1204.0,531.0,55.89700996677741
0.7000000000000001,28.0,36,2026902036,1290.0,593.0,54.031007751937985
0.7000000000000001,28.0,37,2026902037,1398.0,648.0,53.648068669527895
0.7000000000000001,28.0,38,2026902038,999.0000000000001,390.0,60.96096096096097
0.7000000000000001,28.0,39,2026902039,797.0,411.0,48.431618569636136
0.7000000000000001,28.0,40,2026902040,1082.0,511.0,52.77264325323475
0.7000000000000001,28.0,41,2026902041,1058.0,491.00000000000006,53.59168241965973
0.7000000000000001,28.0,42,2026902042,1091.0,520.0,52.337305224564616
0.7000000000000001,28.0,43,2026902043,1073.0,437.0,59.27306616961789
0.7000000000000001,28.0,44,2026902044,1148.0,529.0,53.9198606271777
0.7000000000000001,28.0,45,2026902045,1077.0,468.0,56.54596100278552
0.7000000000000001,28.0,46,2026902046,1117.0,460.0,58.81826320501343
0.7000000000000001,28.0,47,2026902047,1052.0,413.0,60.741444866920155
0.7000000000000001,28.0,48,2026902048,674.0,358.0,46.88427299703264
0.7000000000000001,28.0,49,2026902049,1272.0,556.0,56.289308176100626
0.7000000000000001,28.0,50,2026902050,1096.0,496.0,54.74452554744526
