date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2026-05-14,R,,estimate,2.31643787251345,2.49545486176591,0.890354349376032,1.44984064456526,1.8130884890733,2.10778828806419,2.54242861290557,2.9763290793557,4.21034566463568
2026-05-15,R,,estimate,2.30086970864436,2.46132823314096,0.843765714177085,1.45179967413499,1.80833106443877,2.09751812331163,2.51555210861916,2.93188642912858,4.06705213777704
2026-05-16,R,,estimate,2.28482946752526,2.42602962305402,0.797776446059454,1.45330344714324,1.80782140881673,2.08663586012469,2.48753530675102,2.88656669322186,3.93908345091908
2026-05-17,R,,estimate,2.26409133510946,2.38957313643578,0.75246990483495,1.45532701205273,1.80445796856284,2.06991294640095,2.45570017340672,2.83418919379986,3.80912010991603
2026-05-18,R,,estimate,2.24033198197514,2.3519781833857,0.707910588140234,1.45694160408812,1.79907890521952,2.05796790822183,2.42172612030518,2.77496845347864,3.68192804027599
2026-05-19,R,,estimate,2.21433885994361,2.31327589912801,0.664153265713914,1.45842771486211,1.79501955383103,2.04268664725462,2.39144047902139,2.72180933147546,3.55823907749974
2026-05-20,R,,estimate,2.1911176067087,2.2735154501014,0.62125129827451,1.46023258139284,1.78964179110699,2.0234351237935,2.35444685608975,2.66369221243765,3.42252590746661
2026-05-21,R,,estimate,2.15901262052357,2.2327694751961,0.579262818680083,1.4603783814913,1.778092463363,2.00410748124574,2.31954111214792,2.60736240687097,3.2862593418955
2026-05-22,R,,estimate,2.12583397444959,2.19113825527928,0.538254902054469,1.4604534765505,1.76839654854824,1.98074368824702,2.27846040056477,2.54064282438474,3.17364303915213
2026-05-23,R,,estimate,2.09244760978921,2.14875242326874,0.498306899994252,1.45968876966126,1.75822733525209,1.95696495355043,2.24155811070318,2.4724363607477,3.05781387848261
2026-05-24,R,,estimate,2.05837494118674,2.10577400451411,0.459514126820683,1.46100344591966,1.74494220324228,1.9347113195869,2.19675564988962,2.41156254361794,2.92915546894753
2026-05-25,R,,estimate,2.02483739462506,2.06239543168285,0.421992143655422,1.46025497835838,1.73237719275258,1.91075585629187,2.15219439568829,2.34792991437883,2.80896923276816
2026-05-26,R,,estimate,1.9903437952861,2.01883614625554,0.385880650277683,1.45905907056967,1.71735868042514,1.88362194338514,2.10217922311459,2.27872946925493,2.69680229827137
2026-05-27,R,,estimate,1.95568466992424,1.97533664102859,0.351345285590949,1.45784903246574,1.70178996581115,1.85394536467083,2.05165323737414,2.21201689037552,2.58229066573137
2026-05-28,R,,estimate,1.92176452868923,1.93215027569819,0.318575945167293,1.45618113878659,1.68716680143101,1.82622371080087,2.00595405895208,2.14975331001469,2.48258037703498
2026-05-29,R,,estimate,1.88374589883504,1.88953369921473,0.287781386316266,1.45523004391451,1.66809163410797,1.79905082462764,1.95612622027297,2.08654889608052,2.3841382533599
2026-05-30,R,,estimate,1.84207130714995,1.84773700148505,0.259181132860081,1.45303592390918,1.64858485229008,1.76925522313385,1.90772469300656,2.02430971750233,2.28701454271053
2026-05-31,R,,estimate,1.80252846632597,1.80699468414244,0.232996058288948,1.45033348655273,1.62951099334127,1.74036484574711,1.85969979498043,1.96167089238122,2.20106840868901
2026-06-01,R,,estimate based on partial data,1.76311562499789,1.76751825539986,0.209438010650848,1.44507497128133,1.60822825178021,1.70875291970311,1.81655717580173,1.90653192703632,2.12484658442529
2026-06-02,R,,estimate based on partial data,1.72316625330839,1.72949089246688,0.188696876487846,1.4385541225439,1.58902749886476,1.67586126957558,1.77289697644888,1.85489261608117,2.05047066636098
2026-06-03,R,,estimate based on partial data,1.68605352385617,1.69306432643319,0.170921988286681,1.43097372765364,1.56756348668784,1.64278250549014,1.73120689227955,1.80751030495856,1.98300355650322
2026-06-04,R,,estimate based on partial data,1.65103025111607,1.65835792692944,0.15619570935795,1.41988022675822,1.54512935720523,1.61013368933487,1.69242955530269,1.7608831639213,1.92577170422661
2026-06-05,R,,estimate based on partial data,1.61861834633459,1.62545983560517,0.144501793528135,1.40496247225586,1.52200597336888,1.58031954753065,1.65763917822003,1.71983418566144,1.87666634630271
2026-06-06,R,,estimate based on partial data,1.58834601405914,1.59442984180198,0.135698651720318,1.3849025427706,1.49933717240514,1.55301943287913,1.62280157614599,1.68189180373257,1.82951675373133
