after_onset,analysis,before_exposure,coverage,during_incubation,enhanced,max_vaccines,n_vaccinated_cases,radius,replicate,seed,strategy
71,supp_s3_delivery,7,,10,1,,88,2,33,2026131033,ring2_enhanced
15,supp_s3_delivery,102,0.4,24,,0,141,2,36,2026131036,community40_base
64,supp_s3_delivery,9,,18,1,,91,2,36,2026131036,ring2_enhanced
12,supp_s3_delivery,128,0.4,18,,0,158,2,37,2026131037,community40_base
66,supp_s3_delivery,10,,16,1,,92,2,37,2026131037,ring2_enhanced
28,supp_s3_delivery,99,0.4,22,,0,149,2,35,2026131035,community40_base
60,supp_s3_delivery,10,,10,1,,80,2,35,2026131035,ring2_enhanced
19,supp_s3_delivery,121,0.4,28,,0,168,2,38,2026131038,community40_base
58,supp_s3_delivery,13,,19,1,,90,2,38,2026131038,ring2_enhanced
20,supp_s3_delivery,104,0.4,14,,0,138,2,40,2026131040,community40_base
71,supp_s3_delivery,9,,28,1,,108,2,40,2026131040,ring2_enhanced
18,supp_s3_delivery,119,0.4,19,,0,156,2,39,2026131039,community40_base
70,supp_s3_delivery,10,,12,1,,92,2,39,2026131039,ring2_enhanced
17,supp_s3_delivery,68,0.4,24,,0,109,2,42,2026131042,community40_base
77,supp_s3_delivery,9,,9,1,,95,2,42,2026131042,ring2_enhanced
11,supp_s3_delivery,108,0.4,17,,0,136,2,44,2026131044,community40_base
65,supp_s3_delivery,24,,29,1,,118,2,44,2026131044,ring2_enhanced
21,supp_s3_delivery,146,0.4,19,,0,186,2,41,2026131041,community40_base
96,supp_s3_delivery,13,,11,1,,120,2,41,2026131041,ring2_enhanced
19,supp_s3_delivery,91,0.4,16,,0,126,2,43,2026131043,community40_base
40,supp_s3_delivery,20,,23,1,,83,2,43,2026131043,ring2_enhanced
20,supp_s3_delivery,129,0.4,21,,0,170,2,45,2026131045,community40_base
44,supp_s3_delivery,5,,10,1,,59,2,45,2026131045,ring2_enhanced
17,supp_s3_delivery,102,0.4,22,,0,141,2,46,2026131046,community40_base
57,supp_s3_delivery,13,,16,1,,86,2,46,2026131046,ring2_enhanced
20,supp_s3_delivery,83,0.4,11,,0,114,2,48,2026131048,community40_base
59,supp_s3_delivery,9,,22,1,,90,2,48,2026131048,ring2_enhanced
23,supp_s3_delivery,109,0.4,9,,0,141,2,49,2026131049,community40_base
75,supp_s3_delivery,3,,18,1,,96,2,49,2026131049,ring2_enhanced
23,supp_s3_delivery,72,0.4,16,,0,111,2,50,2026131050,community40_base
69,supp_s3_delivery,15,,15,1,,99,2,50,2026131050,ring2_enhanced
17,supp_s3_delivery,94,0.4,21,,0,132,2,47,2026131047,community40_base
88,supp_s3_delivery,15,,15,1,,118,2,47,2026131047,ring2_enhanced
24,supp_s3_delivery,118,0.4,19,,0,161,2,51,2026131051,community40_base
98,supp_s3_delivery,15,,15,1,,128,2,51,2026131051,ring2_enhanced
21,supp_s3_delivery,123,0.4,29,,0,173,2,52,2026131052,community40_base
89,supp_s3_delivery,17,,22,1,,128,2,52,2026131052,ring2_enhanced
19,supp_s3_delivery,65,0.4,13,,0,97,2,53,2026131053,community40_base
50,supp_s3_delivery,6,,10,1,,66,2,53,2026131053,ring2_enhanced
22,supp_s3_delivery,141,0.4,22,,0,185,2,54,2026131054,community40_base
71,supp_s3_delivery,11,,16,1,,98,2,54,2026131054,ring2_enhanced
23,supp_s3_delivery,110,0.4,19,,0,152,2,58,2026131058,community40_base
56,supp_s3_delivery,12,,22,1,,90,2,58,2026131058,ring2_enhanced
24,supp_s3_delivery,155,0.4,29,,0,208,2,55,2026131055,community40_base
66,supp_s3_delivery,12,,24,1,,102,2,55,2026131055,ring2_enhanced
19,supp_s3_delivery,89,0.4,20,,0,128,2,57,2026131057,community40_base
72,supp_s3_delivery,6,,10,1,,88,2,57,2026131057,ring2_enhanced
17,supp_s3_delivery,146,0.4,21,,0,184,2,56,2026131056,community40_base
72,supp_s3_delivery,13,,13,1,,98,2,56,2026131056,ring2_enhanced
25,supp_s3_delivery,108,0.4,25,,0,158,2,59,2026131059,community40_base
41,supp_s3_delivery,12,,19,1,,72,2,59,2026131059,ring2_enhanced
16,supp_s3_delivery,80,0.4,14,,0,110,2,60,2026131060,community40_base
82,supp_s3_delivery,10,,21,1,,113,2,60,2026131060,ring2_enhanced
17,supp_s3_delivery,65,0.4,18,,0,100,2,62,2026131062,community40_base
66,supp_s3_delivery,13,,18,1,,97,2,62,2026131062,ring2_enhanced
20,supp_s3_delivery,95,0.4,19,,0,134,2,61,2026131061,community40_base
95,supp_s3_delivery,27,,16,1,,138,2,61,2026131061,ring2_enhanced
12,supp_s3_delivery,113,0.4,13,,0,138,2,64,2026131064,community40_base
98,supp_s3_delivery,25,,26,1,,149,2,64,2026131064,ring2_enhanced
24,supp_s3_delivery,123,0.4,19,,0,166,2,65,2026131065,community40_base
75,supp_s3_delivery,14,,25,1,,114,2,65,2026131065,ring2_enhanced
13,supp_s3_delivery,106,0.4,18,,0,137,2,63,2026131063,community40_base
55,supp_s3_delivery,17,,12,1,,84,2,63,2026131063,ring2_enhanced
17,supp_s3_delivery,127,0.4,28,,0,172,2,66,2026131066,community40_base
62,supp_s3_delivery,3,,7,1,,72,2,66,2026131066,ring2_enhanced
22,supp_s3_delivery,140,0.4,14,,0,176,2,67,2026131067,community40_base
64,supp_s3_delivery,17,,22,1,,103,2,67,2026131067,ring2_enhanced
19,supp_s3_delivery,73,0.4,7,,0,99,2,68,2026131068,community40_base
62,supp_s3_delivery,4,,5,1,,71,2,68,2026131068,ring2_enhanced
14,supp_s3_delivery,136,0.4,18,,0,168,2,69,2026131069,community40_base
51,supp_s3_delivery,4,,6,1,,61,2,69,2026131069,ring2_enhanced
25,supp_s3_delivery,161,0.4,19,,0,205,2,70,2026131070,community40_base
91,supp_s3_delivery,16,,19,1,,126,2,70,2026131070,ring2_enhanced
28,supp_s3_delivery,126,0.4,26,,0,180,2,71,2026131071,community40_base
74,supp_s3_delivery,18,,23,1,,115,2,71,2026131071,ring2_enhanced
20,supp_s3_delivery,115,0.4,20,,0,155,2,72,2026131072,community40_base
61,supp_s3_delivery,12,,16,1,,89,2,72,2026131072,ring2_enhanced
26,supp_s3_delivery,91,0.4,28,,0,145,2,74,2026131074,community40_base
53,supp_s3_delivery,10,,15,1,,78,2,74,2026131074,ring2_enhanced
14,supp_s3_delivery,150,0.4,21,,0,185,2,73,2026131073,community40_base
82,supp_s3_delivery,18,,24,1,,124,2,73,2026131073,ring2_enhanced
23,supp_s3_delivery,103,0.4,25,,0,151,2,75,2026131075,community40_base
51,supp_s3_delivery,10,,8,1,,69,2,75,2026131075,ring2_enhanced
18,supp_s3_delivery,83,0.4,17,,0,118,2,76,2026131076,community40_base
47,supp_s3_delivery,4,,11,1,,62,2,76,2026131076,ring2_enhanced
23,supp_s3_delivery,104,0.4,17,,0,144,2,77,2026131077,community40_base
41,supp_s3_delivery,10,,11,1,,62,2,77,2026131077,ring2_enhanced
18,supp_s3_delivery,111,0.4,12,,0,141,2,79,2026131079,community40_base
60,supp_s3_delivery,8,,9,1,,77,2,79,2026131079,ring2_enhanced
