after_onset,analysis,before_exposure,coverage,during_incubation,enhanced,max_vaccines,n_vaccinated_cases,radius,replicate,seed,strategy
17,supp_s3_delivery,87,0.4,18,,0,122,2,175,2026131175,community40_base
63,supp_s3_delivery,11,,20,1,,94,2,175,2026131175,ring2_enhanced
17,supp_s3_delivery,133,0.4,27,,0,177,2,173,2026131173,community40_base
72,supp_s3_delivery,8,,11,1,,91,2,173,2026131173,ring2_enhanced
16,supp_s3_delivery,128,0.4,20,,0,164,2,176,2026131176,community40_base
33,supp_s3_delivery,5,,16,1,,54,2,176,2026131176,ring2_enhanced
12,supp_s3_delivery,55,0.4,13,,0,80,2,174,2026131174,community40_base
56,supp_s3_delivery,5,,2,1,,63,2,174,2026131174,ring2_enhanced
15,supp_s3_delivery,108,0.4,12,,0,135,2,177,2026131177,community40_base
50,supp_s3_delivery,7,,9,1,,66,2,177,2026131177,ring2_enhanced
18,supp_s3_delivery,134,0.4,27,,0,179,2,179,2026131179,community40_base
60,supp_s3_delivery,20,,17,1,,97,2,179,2026131179,ring2_enhanced
21,supp_s3_delivery,82,0.4,17,,0,120,2,180,2026131180,community40_base
58,supp_s3_delivery,14,,15,1,,87,2,180,2026131180,ring2_enhanced
24,supp_s3_delivery,156,0.4,25,,0,205,2,178,2026131178,community40_base
71,supp_s3_delivery,34,,33,1,,138,2,178,2026131178,ring2_enhanced
20,supp_s3_delivery,88,0.4,15,,0,123,2,181,2026131181,community40_base
40,supp_s3_delivery,4,,5,1,,49,2,181,2026131181,ring2_enhanced
17,supp_s3_delivery,98,0.4,28,,0,143,2,184,2026131184,community40_base
60,supp_s3_delivery,4,,24,1,,88,2,184,2026131184,ring2_enhanced
20,supp_s3_delivery,125,0.4,24,,0,169,2,185,2026131185,community40_base
74,supp_s3_delivery,9,,18,1,,101,2,185,2026131185,ring2_enhanced
23,supp_s3_delivery,141,0.4,27,,0,191,2,183,2026131183,community40_base
66,supp_s3_delivery,14,,33,1,,113,2,183,2026131183,ring2_enhanced
24,supp_s3_delivery,127,0.4,27,,0,178,2,182,2026131182,community40_base
107,supp_s3_delivery,8,,13,1,,128,2,182,2026131182,ring2_enhanced
15,supp_s3_delivery,91,0.4,10,,0,116,2,186,2026131186,community40_base
40,supp_s3_delivery,4,,17,1,,61,2,186,2026131186,ring2_enhanced
17,supp_s3_delivery,94,0.4,21,,0,132,2,188,2026131188,community40_base
47,supp_s3_delivery,25,,27,1,,99,2,188,2026131188,ring2_enhanced
21,supp_s3_delivery,117,0.4,20,,0,158,2,190,2026131190,community40_base
63,supp_s3_delivery,8,,7,1,,78,2,190,2026131190,ring2_enhanced
17,supp_s3_delivery,103,0.4,18,,0,138,2,187,2026131187,community40_base
62,supp_s3_delivery,6,,14,1,,82,2,187,2026131187,ring2_enhanced
19,supp_s3_delivery,114,0.4,22,,0,155,2,191,2026131191,community40_base
57,supp_s3_delivery,14,,18,1,,89,2,191,2026131191,ring2_enhanced
17,supp_s3_delivery,77,0.4,21,,0,115,2,192,2026131192,community40_base
43,supp_s3_delivery,18,,6,1,,67,2,192,2026131192,ring2_enhanced
15,supp_s3_delivery,134,0.4,15,,0,164,2,189,2026131189,community40_base
47,supp_s3_delivery,12,,17,1,,76,2,189,2026131189,ring2_enhanced
19,supp_s3_delivery,101,0.4,20,,0,140,2,194,2026131194,community40_base
52,supp_s3_delivery,13,,11,1,,76,2,194,2026131194,ring2_enhanced
15,supp_s3_delivery,124,0.4,20,,0,159,2,193,2026131193,community40_base
71,supp_s3_delivery,24,,31,1,,126,2,193,2026131193,ring2_enhanced
13,supp_s3_delivery,91,0.4,13,,0,117,2,195,2026131195,community40_base
38,supp_s3_delivery,5,,14,1,,57,2,195,2026131195,ring2_enhanced
23,supp_s3_delivery,111,0.4,16,,0,150,2,196,2026131196,community40_base
55,supp_s3_delivery,7,,10,1,,72,2,196,2026131196,ring2_enhanced
17,supp_s3_delivery,69,0.4,22,,0,108,2,198,2026131198,community40_base
43,supp_s3_delivery,8,,25,1,,76,2,198,2026131198,ring2_enhanced
19,supp_s3_delivery,83,0.4,13,,0,115,2,200,2026131200,community40_base
43,supp_s3_delivery,8,,10,1,,61,2,200,2026131200,ring2_enhanced
15,supp_s3_delivery,121,0.4,14,,0,150,2,197,2026131197,community40_base
65,supp_s3_delivery,3,,12,1,,80,2,197,2026131197,ring2_enhanced
18,supp_s3_delivery,86,0.4,19,,0,123,2,199,2026131199,community40_base
71,supp_s3_delivery,5,,12,1,,88,2,199,2026131199,ring2_enhanced
18,supp_s3_delivery,96,0.4,22,,0,136,2,202,2026131202,community40_base
48,supp_s3_delivery,17,,18,1,,83,2,202,2026131202,ring2_enhanced
14,supp_s3_delivery,94,0.4,21,,0,129,2,201,2026131201,community40_base
79,supp_s3_delivery,20,,23,1,,122,2,201,2026131201,ring2_enhanced
22,supp_s3_delivery,69,0.4,19,,0,110,2,204,2026131204,community40_base
59,supp_s3_delivery,23,,25,1,,107,2,204,2026131204,ring2_enhanced
12,supp_s3_delivery,92,0.4,15,,0,119,2,203,2026131203,community40_base
47,supp_s3_delivery,10,,8,1,,65,2,203,2026131203,ring2_enhanced
18,supp_s3_delivery,102,0.4,17,,0,137,2,208,2026131208,community40_base
30,supp_s3_delivery,4,,12,1,,46,2,208,2026131208,ring2_enhanced
21,supp_s3_delivery,161,0.4,22,,0,204,2,205,2026131205,community40_base
81,supp_s3_delivery,16,,17,1,,114,2,205,2026131205,ring2_enhanced
15,supp_s3_delivery,103,0.4,18,,0,136,2,206,2026131206,community40_base
39,supp_s3_delivery,13,,12,1,,64,2,206,2026131206,ring2_enhanced
23,supp_s3_delivery,72,0.4,22,,0,117,2,209,2026131209,community40_base
51,supp_s3_delivery,10,,20,1,,81,2,209,2026131209,ring2_enhanced
18,supp_s3_delivery,68,0.4,16,,0,102,2,207,2026131207,community40_base
78,supp_s3_delivery,8,,15,1,,101,2,207,2026131207,ring2_enhanced
20,supp_s3_delivery,128,0.4,20,,0,168,2,210,2026131210,community40_base
93,supp_s3_delivery,5,,14,1,,112,2,210,2026131210,ring2_enhanced
16,supp_s3_delivery,157,0.4,17,,0,190,2,212,2026131212,community40_base
60,supp_s3_delivery,21,,11,1,,92,2,212,2026131212,ring2_enhanced
15,supp_s3_delivery,128,0.4,22,,0,165,2,211,2026131211,community40_base
64,supp_s3_delivery,6,,10,1,,80,2,211,2026131211,ring2_enhanced
22,supp_s3_delivery,80,0.4,18,,0,120,2,213,2026131213,community40_base
97,supp_s3_delivery,12,,13,1,,122,2,213,2026131213,ring2_enhanced
19,supp_s3_delivery,69,0.4,14,,0,102,2,217,2026131217,community40_base
67,supp_s3_delivery,13,,19,1,,99,2,217,2026131217,ring2_enhanced
15,supp_s3_delivery,72,0.4,20,,0,107,2,214,2026131214,community40_base
43,supp_s3_delivery,15,,15,1,,73,2,214,2026131214,ring2_enhanced
25,supp_s3_delivery,104,0.4,14,,0,143,2,215,2026131215,community40_base
78,supp_s3_delivery,22,,25,1,,125,2,215,2026131215,ring2_enhanced
28,supp_s3_delivery,95,0.4,23,,0,146,2,218,2026131218,community40_base
61,supp_s3_delivery,18,,28,1,,107,2,218,2026131218,ring2_enhanced
15,supp_s3_delivery,104,0.4,20,,0,139,2,216,2026131216,community40_base
79,supp_s3_delivery,17,,13,1,,109,2,216,2026131216,ring2_enhanced
29,supp_s3_delivery,113,0.4,29,,0,171,2,219,2026131219,community40_base
54,supp_s3_delivery,7,,6,1,,67,2,219,2026131219,ring2_enhanced
17,supp_s3_delivery,104,0.4,21,,0,142,2,220,2026131220,community40_base
64,supp_s3_delivery,14,,17,1,,95,2,220,2026131220,ring2_enhanced
22,supp_s3_delivery,67,0.4,16,,0,105,2,221,2026131221,community40_base
89,supp_s3_delivery,19,,18,1,,126,2,221,2026131221,ring2_enhanced
25,supp_s3_delivery,131,0.4,29,,0,185,2,222,2026131222,community40_base
52,supp_s3_delivery,11,,15,1,,78,2,222,2026131222,ring2_enhanced
22,supp_s3_delivery,120,0.4,20,,0,162,2,223,2026131223,community40_base
73,supp_s3_delivery,13,,25,1,,111,2,223,2026131223,ring2_enhanced
18,supp_s3_delivery,80,0.4,19,,0,117,2,225,2026131225,community40_base
55,supp_s3_delivery,16,,18,1,,89,2,225,2026131225,ring2_enhanced
19,supp_s3_delivery,147,0.4,19,,0,185,2,224,2026131224,community40_base
88,supp_s3_delivery,14,,22,1,,124,2,224,2026131224,ring2_enhanced
13,supp_s3_delivery,95,0.4,16,,0,124,2,226,2026131226,community40_base
37,supp_s3_delivery,4,,12,1,,53,2,226,2026131226,ring2_enhanced
22,supp_s3_delivery,95,0.4,23,,0,140,2,227,2026131227,community40_base
41,supp_s3_delivery,15,,26,1,,82,2,227,2026131227,ring2_enhanced
17,supp_s3_delivery,56,0.4,11,,0,84,2,228,2026131228,community40_base
50,supp_s3_delivery,8,,16,1,,74,2,228,2026131228,ring2_enhanced
12,supp_s3_delivery,140,0.4,27,,0,179,2,229,2026131229,community40_base
64,supp_s3_delivery,15,,24,1,,103,2,229,2026131229,ring2_enhanced
21,supp_s3_delivery,96,0.4,16,,0,133,2,230,2026131230,community40_base
60,supp_s3_delivery,4,,14,1,,78,2,230,2026131230,ring2_enhanced
11,supp_s3_delivery,102,0.4,23,,0,136,2,232,2026131232,community40_base
45,supp_s3_delivery,7,,19,1,,71,2,232,2026131232,ring2_enhanced
20,supp_s3_delivery,80,0.4,16,,0,116,2,231,2026131231,community40_base
71,supp_s3_delivery,12,,18,1,,101,2,231,2026131231,ring2_enhanced
22,supp_s3_delivery,144,0.4,23,,0,189,2,234,2026131234,community40_base
57,supp_s3_delivery,21,,19,1,,97,2,234,2026131234,ring2_enhanced
17,supp_s3_delivery,117,0.4,23,,0,157,2,233,2026131233,community40_base
65,supp_s3_delivery,2,,18,1,,85,2,233,2026131233,ring2_enhanced
24,supp_s3_delivery,106,0.4,18,,0,148,2,235,2026131235,community40_base
83,supp_s3_delivery,8,,13,1,,104,2,235,2026131235,ring2_enhanced
25,supp_s3_delivery,95,0.4,19,,0,139,2,237,2026131237,community40_base
58,supp_s3_delivery,9,,13,1,,80,2,237,2026131237,ring2_enhanced
19,supp_s3_delivery,110,0.4,23,,0,152,2,236,2026131236,community40_base
52,supp_s3_delivery,12,,19,1,,83,2,236,2026131236,ring2_enhanced
22,supp_s3_delivery,125,0.4,20,,0,167,2,238,2026131238,community40_base
91,supp_s3_delivery,20,,22,1,,133,2,238,2026131238,ring2_enhanced
12,supp_s3_delivery,63,0.4,14,,0,89,2,240,2026131240,community40_base
70,supp_s3_delivery,5,,12,1,,87,2,240,2026131240,ring2_enhanced
17,supp_s3_delivery,73,0.4,13,,0,103,2,241,2026131241,community40_base
69,supp_s3_delivery,2,,11,1,,82,2,241,2026131241,ring2_enhanced
16,supp_s3_delivery,91,0.4,13,,0,120,2,239,2026131239,community40_base
45,supp_s3_delivery,6,,12,1,,63,2,239,2026131239,ring2_enhanced
15,supp_s3_delivery,84,0.4,24,,0,123,2,242,2026131242,community40_base
30,supp_s3_delivery,8,,3,1,,41,2,242,2026131242,ring2_enhanced
22,supp_s3_delivery,104,0.4,16,,0,142,2,243,2026131243,community40_base
53,supp_s3_delivery,8,,22,1,,83,2,243,2026131243,ring2_enhanced
18,supp_s3_delivery,120,0.4,12,,0,150,2,244,2026131244,community40_base
49,supp_s3_delivery,15,,19,1,,83,2,244,2026131244,ring2_enhanced
20,supp_s3_delivery,111,0.4,20,,0,151,2,245,2026131245,community40_base
76,supp_s3_delivery,15,,17,1,,108,2,245,2026131245,ring2_enhanced
12,supp_s3_delivery,81,0.4,15,,0,108,2,246,2026131246,community40_base
39,supp_s3_delivery,8,,16,1,,63,2,246,2026131246,ring2_enhanced
21,supp_s3_delivery,99,0.4,19,,0,139,2,247,2026131247,community40_base
46,supp_s3_delivery,15,,13,1,,74,2,247,2026131247,ring2_enhanced
16,supp_s3_delivery,125,0.4,13,,0,154,2,249,2026131249,community40_base
69,supp_s3_delivery,14,,14,1,,97,2,249,2026131249,ring2_enhanced
21,supp_s3_delivery,117,0.4,23,,0,161,2,248,2026131248,community40_base
89,supp_s3_delivery,24,,20,1,,133,2,248,2026131248,ring2_enhanced
22,supp_s3_delivery,116,0.4,22,,0,160,2,251,2026131251,community40_base
73,supp_s3_delivery,15,,25,1,,113,2,251,2026131251,ring2_enhanced
23,supp_s3_delivery,119,0.4,22,,0,164,2,250,2026131250,community40_base
69,supp_s3_delivery,11,,16,1,,96,2,250,2026131250,ring2_enhanced
15,supp_s3_delivery,88,0.4,15,,0,118,2,252,2026131252,community40_base
78,supp_s3_delivery,6,,9,1,,93,2,252,2026131252,ring2_enhanced
20,supp_s3_delivery,93,0.4,20,,0,133,2,253,2026131253,community40_base
69,supp_s3_delivery,10,,28,1,,107,2,253,2026131253,ring2_enhanced
22,supp_s3_delivery,83,0.4,26,,0,131,2,255,2026131255,community40_base
61,supp_s3_delivery,18,,16,1,,95,2,255,2026131255,ring2_enhanced
17,supp_s3_delivery,80,0.4,17,,0,114,2,254,2026131254,community40_base
50,supp_s3_delivery,12,,11,1,,73,2,254,2026131254,ring2_enhanced
11,supp_s3_delivery,103,0.4,29,,0,143,2,256,2026131256,community40_base
55,supp_s3_delivery,1,,7,1,,63,2,256,2026131256,ring2_enhanced
18,supp_s3_delivery,78,0.4,17,,0,113,2,258,2026131258,community40_base
38,supp_s3_delivery,12,,19,1,,69,2,258,2026131258,ring2_enhanced
15,supp_s3_delivery,81,0.4,21,,0,117,2,257,2026131257,community40_base
72,supp_s3_delivery,15,,28,1,,115,2,257,2026131257,ring2_enhanced
20,supp_s3_delivery,84,0.4,25,,0,129,2,260,2026131260,community40_base
53,supp_s3_delivery,11,,26,1,,90,2,260,2026131260,ring2_enhanced
18,supp_s3_delivery,108,0.4,21,,0,147,2,262,2026131262,community40_base
80,supp_s3_delivery,14,,12,1,,106,2,262,2026131262,ring2_enhanced
19,supp_s3_delivery,103,0.4,12,,0,134,2,261,2026131261,community40_base
39,supp_s3_delivery,10,,9,1,,58,2,261,2026131261,ring2_enhanced
17,supp_s3_delivery,114,0.4,21,,0,152,2,259,2026131259,community40_base
97,supp_s3_delivery,15,,18,1,,130,2,259,2026131259,ring2_enhanced
14,supp_s3_delivery,110,0.4,11,,0,135,2,264,2026131264,community40_base
52,supp_s3_delivery,9,,11,1,,72,2,264,2026131264,ring2_enhanced
22,supp_s3_delivery,69,0.4,15,,0,106,2,267,2026131267,community40_base
60,supp_s3_delivery,6,,13,1,,79,2,267,2026131267,ring2_enhanced
18,supp_s3_delivery,80,0.4,24,,0,122,2,263,2026131263,community40_base
71,supp_s3_delivery,11,,12,1,,94,2,263,2026131263,ring2_enhanced
16,supp_s3_delivery,104,0.4,25,,0,145,2,266,2026131266,community40_base
70,supp_s3_delivery,12,,10,1,,92,2,266,2026131266,ring2_enhanced
22,supp_s3_delivery,122,0.4,23,,0,167,2,265,2026131265,community40_base
27,supp_s3_delivery,14,,17,1,,58,2,265,2026131265,ring2_enhanced
16,supp_s3_delivery,136,0.4,26,,0,178,2,269,2026131269,community40_base
58,supp_s3_delivery,11,,14,1,,83,2,269,2026131269,ring2_enhanced
15,supp_s3_delivery,110,0.4,13,,0,138,2,268,2026131268,community40_base
73,supp_s3_delivery,19,,17,1,,109,2,268,2026131268,ring2_enhanced
13,supp_s3_delivery,156,0.4,15,,0,184,2,271,2026131271,community40_base
73,supp_s3_delivery,15,,11,1,,99,2,271,2026131271,ring2_enhanced
19,supp_s3_delivery,85,0.4,18,,0,122,2,273,2026131273,community40_base
42,supp_s3_delivery,4,,14,1,,60,2,273,2026131273,ring2_enhanced
16,supp_s3_delivery,108,0.4,19,,0,143,2,270,2026131270,community40_base
55,supp_s3_delivery,13,,25,1,,93,2,270,2026131270,ring2_enhanced
7,supp_s3_delivery,86,0.4,16,,0,109,2,272,2026131272,community40_base
82,supp_s3_delivery,18,,29,1,,129,2,272,2026131272,ring2_enhanced
15,supp_s3_delivery,117,0.4,26,,0,158,2,274,2026131274,community40_base
75,supp_s3_delivery,11,,19,1,,105,2,274,2026131274,ring2_enhanced
14,supp_s3_delivery,106,0.4,18,,0,138,2,275,2026131275,community40_base
78,supp_s3_delivery,5,,14,1,,97,2,275,2026131275,ring2_enhanced
12,supp_s3_delivery,88,0.4,18,,0,118,2,276,2026131276,community40_base
55,supp_s3_delivery,20,,32,1,,107,2,276,2026131276,ring2_enhanced
18,supp_s3_delivery,55,0.4,15,,0,88,2,277,2026131277,community40_base
54,supp_s3_delivery,27,,16,1,,97,2,277,2026131277,ring2_enhanced
22,supp_s3_delivery,126,0.4,26,,0,174,2,279,2026131279,community40_base
87,supp_s3_delivery,16,,20,1,,123,2,279,2026131279,ring2_enhanced
21,supp_s3_delivery,109,0.4,18,,0,148,2,278,2026131278,community40_base
50,supp_s3_delivery,21,,15,1,,86,2,278,2026131278,ring2_enhanced
15,supp_s3_delivery,109,0.4,30,,0,154,2,281,2026131281,community40_base
72,supp_s3_delivery,13,,12,1,,97,2,281,2026131281,ring2_enhanced
14,supp_s3_delivery,101,0.4,14,,0,129,2,280,2026131280,community40_base
82,supp_s3_delivery,12,,13,1,,107,2,280,2026131280,ring2_enhanced
16,supp_s3_delivery,82,0.4,17,,0,115,2,282,2026131282,community40_base
93,supp_s3_delivery,8,,16,1,,117,2,282,2026131282,ring2_enhanced
14,supp_s3_delivery,76,0.4,18,,0,108,2,285,2026131285,community40_base
35,supp_s3_delivery,6,,16,1,,57,2,285,2026131285,ring2_enhanced
15,supp_s3_delivery,84,0.4,19,,0,118,2,283,2026131283,community40_base
102,supp_s3_delivery,14,,17,1,,133,2,283,2026131283,ring2_enhanced
22,supp_s3_delivery,40,0.4,11,,0,73,2,288,2026131288,community40_base
51,supp_s3_delivery,6,,9,1,,66,2,288,2026131288,ring2_enhanced
16,supp_s3_delivery,78,0.4,15,,0,109,2,284,2026131284,community40_base
53,supp_s3_delivery,16,,19,1,,88,2,284,2026131284,ring2_enhanced
26,supp_s3_delivery,148,0.4,20,,0,194,2,287,2026131287,community40_base
74,supp_s3_delivery,7,,20,1,,101,2,287,2026131287,ring2_enhanced
17,supp_s3_delivery,45,0.4,11,,0,73,2,286,2026131286,community40_base
59,supp_s3_delivery,11,,15,1,,85,2,286,2026131286,ring2_enhanced
29,supp_s3_delivery,147,0.4,27,,0,203,2,289,2026131289,community40_base
89,supp_s3_delivery,8,,18,1,,115,2,289,2026131289,ring2_enhanced
27,supp_s3_delivery,125,0.4,23,,0,175,2,290,2026131290,community40_base
65,supp_s3_delivery,7,,11,1,,83,2,290,2026131290,ring2_enhanced
18,supp_s3_delivery,102,0.4,13,,0,133,2,291,2026131291,community40_base
30,supp_s3_delivery,15,,34,1,,79,2,291,2026131291,ring2_enhanced
17,supp_s3_delivery,85,0.4,13,,0,115,2,292,2026131292,community40_base
67,supp_s3_delivery,15,,23,1,,105,2,292,2026131292,ring2_enhanced
21,supp_s3_delivery,115,0.4,25,,0,161,2,293,2026131293,community40_base
65,supp_s3_delivery,10,,21,1,,96,2,293,2026131293,ring2_enhanced
25,supp_s3_delivery,112,0.4,16,,0,153,2,295,2026131295,community40_base
67,supp_s3_delivery,10,,9,1,,86,2,295,2026131295,ring2_enhanced
24,supp_s3_delivery,111,0.4,21,,0,156,2,294,2026131294,community40_base
75,supp_s3_delivery,12,,14,1,,101,2,294,2026131294,ring2_enhanced
30,supp_s3_delivery,108,0.4,16,,0,154,2,297,2026131297,community40_base
86,supp_s3_delivery,25,,23,1,,134,2,297,2026131297,ring2_enhanced
20,supp_s3_delivery,86,0.4,14,,0,120,2,298,2026131298,community40_base
89,supp_s3_delivery,8,,19,1,,116,2,298,2026131298,ring2_enhanced
28,supp_s3_delivery,146,0.4,17,,0,191,2,299,2026131299,community40_base
59,supp_s3_delivery,12,,10,1,,81,2,299,2026131299,ring2_enhanced
23,supp_s3_delivery,123,0.4,29,,0,175,2,296,2026131296,community40_base
71,supp_s3_delivery,12,,8,1,,91,2,296,2026131296,ring2_enhanced
20,supp_s3_delivery,154,0.4,20,,0,194,2,300,2026131300,community40_base
84,supp_s3_delivery,14,,12,1,,110,2,300,2026131300,ring2_enhanced
20,supp_s3_delivery,63,0.4,25,,0,108,2,301,2026131301,community40_base
58,supp_s3_delivery,15,,10,1,,83,2,301,2026131301,ring2_enhanced
14,supp_s3_delivery,81,0.4,17,,0,112,2,302,2026131302,community40_base
53,supp_s3_delivery,6,,21,1,,80,2,302,2026131302,ring2_enhanced
21,supp_s3_delivery,137,0.4,23,,0,181,2,303,2026131303,community40_base
52,supp_s3_delivery,16,,22,1,,90,2,303,2026131303,ring2_enhanced
23,supp_s3_delivery,74,0.4,15,,0,112,2,306,2026131306,community40_base
76,supp_s3_delivery,21,,33,1,,130,2,306,2026131306,ring2_enhanced
22,supp_s3_delivery,90,0.4,14,,0,126,2,304,2026131304,community40_base
35,supp_s3_delivery,5,,9,1,,49,2,304,2026131304,ring2_enhanced
25,supp_s3_delivery,159,0.4,23,,0,207,2,305,2026131305,community40_base
58,supp_s3_delivery,9,,17,1,,84,2,305,2026131305,ring2_enhanced
15,supp_s3_delivery,99,0.4,20,,0,134,2,308,2026131308,community40_base
75,supp_s3_delivery,22,,22,1,,119,2,308,2026131308,ring2_enhanced
24,supp_s3_delivery,143,0.4,20,,0,187,2,307,2026131307,community40_base
60,supp_s3_delivery,8,,14,1,,82,2,307,2026131307,ring2_enhanced
12,supp_s3_delivery,91,0.4,22,,0,125,2,310,2026131310,community40_base
66,supp_s3_delivery,9,,7,1,,82,2,310,2026131310,ring2_enhanced
20,supp_s3_delivery,92,0.4,18,,0,130,2,309,2026131309,community40_base
81,supp_s3_delivery,16,,6,1,,103,2,309,2026131309,ring2_enhanced
13,supp_s3_delivery,102,0.4,18,,0,133,2,311,2026131311,community40_base
84,supp_s3_delivery,10,,15,1,,109,2,311,2026131311,ring2_enhanced
14,supp_s3_delivery,99,0.4,20,,0,133,2,312,2026131312,community40_base
54,supp_s3_delivery,13,,19,1,,86,2,312,2026131312,ring2_enhanced
19,supp_s3_delivery,139,0.4,24,,0,182,2,313,2026131313,community40_base
99,supp_s3_delivery,29,,31,1,,159,2,313,2026131313,ring2_enhanced
15,supp_s3_delivery,90,0.4,25,,0,130,2,316,2026131316,community40_base
39,supp_s3_delivery,9,,9,1,,57,2,316,2026131316,ring2_enhanced
18,supp_s3_delivery,82,0.4,24,,0,124,2,315,2026131315,community40_base
35,supp_s3_delivery,11,,8,1,,54,2,315,2026131315,ring2_enhanced
22,supp_s3_delivery,114,0.4,20,,0,156,2,314,2026131314,community40_base
60,supp_s3_delivery,6,,14,1,,80,2,314,2026131314,ring2_enhanced
12,supp_s3_delivery,78,0.4,12,,0,102,2,318,2026131318,community40_base
26,supp_s3_delivery,4,,12,1,,42,2,318,2026131318,ring2_enhanced
21,supp_s3_delivery,90,0.4,17,,0,128,2,317,2026131317,community40_base
24,supp_s3_delivery,3,,9,1,,36,2,317,2026131317,ring2_enhanced
17,supp_s3_delivery,123,0.4,17,,0,157,2,320,2026131320,community40_base
73,supp_s3_delivery,8,,12,1,,93,2,320,2026131320,ring2_enhanced
20,supp_s3_delivery,88,0.4,20,,0,128,2,319,2026131319,community40_base
52,supp_s3_delivery,8,,23,1,,83,2,319,2026131319,ring2_enhanced
21,supp_s3_delivery,92,0.4,17,,0,130,2,321,2026131321,community40_base
36,supp_s3_delivery,17,,12,1,,65,2,321,2026131321,ring2_enhanced
16,supp_s3_delivery,99,0.4,18,,0,133,2,322,2026131322,community40_base
102,supp_s3_delivery,18,,22,1,,142,2,322,2026131322,ring2_enhanced
19,supp_s3_delivery,100,0.4,22,,0,141,2,323,2026131323,community40_base
49,supp_s3_delivery,10,,8,1,,67,2,323,2026131323,ring2_enhanced
15,supp_s3_delivery,124,0.4,26,,0,165,2,324,2026131324,community40_base
78,supp_s3_delivery,13,,13,1,,104,2,324,2026131324,ring2_enhanced
14,supp_s3_delivery,120,0.4,22,,0,156,2,325,2026131325,community40_base
96,supp_s3_delivery,7,,11,1,,114,2,325,2026131325,ring2_enhanced
20,supp_s3_delivery,119,0.4,16,,0,155,2,326,2026131326,community40_base
75,supp_s3_delivery,18,,21,1,,114,2,326,2026131326,ring2_enhanced
15,supp_s3_delivery,83,0.4,16,,0,114,2,328,2026131328,community40_base
77,supp_s3_delivery,12,,12,1,,101,2,328,2026131328,ring2_enhanced
17,supp_s3_delivery,115,0.4,17,,0,149,2,330,2026131330,community40_base
69,supp_s3_delivery,8,,18,1,,95,2,330,2026131330,ring2_enhanced
23,supp_s3_delivery,93,0.4,12,,0,128,2,331,2026131331,community40_base
72,supp_s3_delivery,11,,11,1,,94,2,331,2026131331,ring2_enhanced
21,supp_s3_delivery,131,0.4,23,,0,175,2,327,2026131327,community40_base
83,supp_s3_delivery,17,,22,1,,122,2,327,2026131327,ring2_enhanced
18,supp_s3_delivery,153,0.4,26,,0,197,2,332,2026131332,community40_base
79,supp_s3_delivery,8,,14,1,,101,2,332,2026131332,ring2_enhanced
25,supp_s3_delivery,137,0.4,26,,0,188,2,333,2026131333,community40_base
74,supp_s3_delivery,9,,10,1,,93,2,333,2026131333,ring2_enhanced
23,supp_s3_delivery,223,0.4,22,,0,268,2,329,2026131329,community40_base
80,supp_s3_delivery,13,,27,1,,120,2,329,2026131329,ring2_enhanced
17,supp_s3_delivery,124,0.4,21,,0,162,2,334,2026131334,community40_base
58,supp_s3_delivery,12,,10,1,,80,2,334,2026131334,ring2_enhanced
25,supp_s3_delivery,117,0.4,36,,0,178,2,336,2026131336,community40_base
79,supp_s3_delivery,10,,15,1,,104,2,336,2026131336,ring2_enhanced
14,supp_s3_delivery,74,0.4,14,,0,102,2,335,2026131335,community40_base
32,supp_s3_delivery,1,,5,1,,38,2,335,2026131335,ring2_enhanced
19,supp_s3_delivery,118,0.4,19,,0,156,2,337,2026131337,community40_base
57,supp_s3_delivery,4,,10,1,,71,2,337,2026131337,ring2_enhanced
14,supp_s3_delivery,87,0.4,16,,0,117,2,340,2026131340,community40_base
40,supp_s3_delivery,9,,11,1,,60,2,340,2026131340,ring2_enhanced
15,supp_s3_delivery,127,0.4,18,,0,160,2,338,2026131338,community40_base
72,supp_s3_delivery,17,,16,1,,105,2,338,2026131338,ring2_enhanced
22,supp_s3_delivery,120,0.4,12,,0,154,2,339,2026131339,community40_base
63,supp_s3_delivery,8,,16,1,,87,2,339,2026131339,ring2_enhanced
17,supp_s3_delivery,75,0.4,20,,0,112,2,341,2026131341,community40_base
58,supp_s3_delivery,12,,18,1,,88,2,341,2026131341,ring2_enhanced
16,supp_s3_delivery,117,0.4,24,,0,157,2,342,2026131342,community40_base
66,supp_s3_delivery,11,,12,1,,89,2,342,2026131342,ring2_enhanced
17,supp_s3_delivery,122,0.4,20,,0,159,2,343,2026131343,community40_base
12,supp_s3_delivery,5,,9,1,,26,2,343,2026131343,ring2_enhanced
19,supp_s3_delivery,81,0.4,13,,0,113,2,344,2026131344,community40_base
49,supp_s3_delivery,9,,16,1,,74,2,344,2026131344,ring2_enhanced
15,supp_s3_delivery,121,0.4,13,,0,149,2,345,2026131345,community40_base
53,supp_s3_delivery,6,,3,1,,62,2,345,2026131345,ring2_enhanced
17,supp_s3_delivery,86,0.4,14,,0,117,2,347,2026131347,community40_base
70,supp_s3_delivery,17,,19,1,,106,2,347,2026131347,ring2_enhanced
37,supp_s3_delivery,131,0.4,23,,0,191,2,346,2026131346,community40_base
86,supp_s3_delivery,13,,17,1,,116,2,346,2026131346,ring2_enhanced
21,supp_s3_delivery,129,0.4,24,,0,174,2,349,2026131349,community40_base
44,supp_s3_delivery,11,,16,1,,71,2,349,2026131349,ring2_enhanced
