setting,strategy,comparator,median_cases,median_deaths,median_doses,infection_reduction_median,infection_reduction_p025,infection_reduction_p975,mortality_reduction_median,mortality_reduction_p025,mortality_reduction_p975,n_pairs,n_excluded_zero_comparator
bundibugyo_2007,base_ops,,9981.0,4515.0,0.0,,,,,,,,
bundibugyo_2007,enhanced_ops,base_ops,670.0,305.0,0.0,93.25141015310234,89.00254049515598,96.06848709722355,93.24715845776689,88.95848870850148,96.17213786612727,625,0
bundibugyo_2007,enhanced_plus_ring2,enhanced_ops,397.0,171.0,8140.0,40.41994750656168,-2.9771415771565097,64.09119830328738,43.76996805111821,2.4517378969947186,65.81354479833848,625,0
bundibugyo_2007,enhanced_plus_comm40,base_ops,311.0,132.0,4000.0,96.87343421184488,95.33691698060733,98.14435848803224,97.08994708994709,95.62536462128942,98.28896626860708,625,0
isiro_2012,base_ops,,509.0,231.0,0.0,,,,,,,,
isiro_2012,enhanced_ops,base_ops,120.0,55.0,0.0,75.77413479052824,51.41050254093732,87.266985645933,75.67567567567568,50.810322156476005,87.71010856117239,625,0
isiro_2012,enhanced_plus_ring2,enhanced_ops,110.0,49.0,8251.0,8.588957055214724,-36.29545454545455,40.943457893016664,10.204081632653061,-34.54545454545455,43.56445556946183,625,0
isiro_2012,enhanced_plus_comm40,base_ops,98.0,42.0,4000.0,80.72072072072072,64.02971676211114,88.94853154986914,81.45454545454545,63.45233265720081,89.96809669304392,625,0
