strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
comm_base_60,25,2026073025,0,nan,168,424,60000
no_vax_base_ops,24,2026073024,0,nan,979,2140,0
no_vax_enh_ops,24,2026073024,0,nan,111,243,0
comm_base_40,24,2026073024,0,nan,373,811,40000
comm_base_60,24,2026073024,0,nan,171,431,60000
no_vax_base_ops,26,2026073026,0,nan,727,1523,0
no_vax_enh_ops,26,2026073026,0,nan,160,335,0
comm_base_40,26,2026073026,0,nan,274,612,40000
comm_base_60,26,2026073026,0,nan,193,457,60000
no_vax_base_ops,27,2026073027,0,nan,824,1814,0
no_vax_enh_ops,27,2026073027,0,nan,147,340,0
comm_base_40,27,2026073027,0,nan,399,917,40000
comm_base_60,27,2026073027,0,nan,170,416,60000
no_vax_base_ops,28,2026073028,0,nan,917,2046,0
no_vax_enh_ops,28,2026073028,1,89.57234341969892,152,310,0
comm_base_40,28,2026073028,0,nan,330,780,40000
comm_base_60,28,2026073028,0,nan,214,510,60000
no_vax_base_ops,29,2026073029,0,nan,740,1681,0
no_vax_enh_ops,29,2026073029,0,nan,158,346,0
comm_base_40,29,2026073029,0,nan,290,709,40000
comm_base_60,29,2026073029,0,nan,193,462,60000
no_vax_base_ops,30,2026073030,0,nan,883,1950,0
no_vax_enh_ops,30,2026073030,0,nan,195,412,0
comm_base_40,30,2026073030,0,nan,231,537,40000
comm_base_60,30,2026073030,0,nan,162,394,60000
no_vax_base_ops,31,2026073031,0,nan,980,2205,0
no_vax_enh_ops,31,2026073031,0,nan,158,346,0
comm_base_40,31,2026073031,0,nan,274,648,40000
comm_base_60,31,2026073031,0,nan,178,441,60000
no_vax_base_ops,33,2026073033,0,nan,946,2035,0
no_vax_enh_ops,33,2026073033,0,nan,122,241,0
comm_base_40,33,2026073033,0,nan,341,796,40000
comm_base_60,33,2026073033,0,nan,149,331,60000
no_vax_base_ops,32,2026073032,0,nan,744,1624,0
no_vax_enh_ops,32,2026073032,0,nan,157,316,0
comm_base_40,32,2026073032,0,nan,264,628,40000
comm_base_60,32,2026073032,0,nan,149,359,60000
no_vax_base_ops,35,2026073035,0,nan,1220,2667,0
no_vax_enh_ops,35,2026073035,0,nan,129,277,0
comm_base_40,35,2026073035,0,nan,308,760,40000
comm_base_60,35,2026073035,0,nan,209,540,60000
no_vax_base_ops,34,2026073034,0,nan,1189,2548,0
no_vax_enh_ops,34,2026073034,0,nan,186,371,0
comm_base_40,34,2026073034,0,nan,286,659,40000
comm_base_60,34,2026073034,0,nan,174,385,60000
no_vax_base_ops,36,2026073036,0,nan,1142,2527,0
no_vax_enh_ops,36,2026073036,0,nan,125,319,0
comm_base_40,36,2026073036,0,nan,262,658,40000
comm_base_60,36,2026073036,0,nan,164,455,60000
no_vax_base_ops,37,2026073037,0,nan,766,1689,0
no_vax_enh_ops,37,2026073037,0,nan,189,377,0
comm_base_40,37,2026073037,0,nan,250,594,40000
comm_base_60,37,2026073037,0,nan,218,517,60000
no_vax_base_ops,38,2026073038,0,nan,839,1843,0
no_vax_enh_ops,38,2026073038,0,nan,127,300,0
comm_base_40,38,2026073038,0,nan,241,617,40000
comm_base_60,38,2026073038,0,nan,133,377,60000
no_vax_base_ops,39,2026073039,0,nan,692,1479,0
no_vax_enh_ops,39,2026073039,0,nan,119,253,0
comm_base_40,39,2026073039,0,nan,196,452,40000
comm_base_60,39,2026073039,0,nan,159,378,60000
no_vax_base_ops,41,2026073041,0,nan,692,1552,0
no_vax_enh_ops,41,2026073041,0,nan,138,320,0
comm_base_40,41,2026073041,0,nan,235,570,40000
comm_base_60,41,2026073041,0,nan,157,410,60000
no_vax_base_ops,40,2026073040,0,nan,705,1571,0
no_vax_enh_ops,40,2026073040,0,nan,146,318,0
comm_base_40,40,2026073040,0,nan,258,620,40000
comm_base_60,40,2026073040,0,nan,173,427,60000
no_vax_base_ops,42,2026073042,0,nan,1000,2105,0
no_vax_enh_ops,42,2026073042,0,nan,162,334,0
comm_base_40,42,2026073042,0,nan,334,763,40000
comm_base_60,42,2026073042,0,nan,207,479,60000
no_vax_base_ops,43,2026073043,0,nan,798,1745,0
no_vax_enh_ops,43,2026073043,0,nan,154,320,0
comm_base_40,43,2026073043,0,nan,286,660,40000
