strategy,n_replicates,n_extinct,fraction_extinct,wilson95_low,wilson95_high,median_extinction_time,extinction_time_q25,extinction_time_q75,median_deaths,deaths_q25,deaths_q75
no_vax_base_ops,500,0,0.0,4.336808689942018e-19,0.007624340461552241,nan,nan,nan,820.5,703.25,946.25
no_vax_enh_ops,500,66,0.132,0.10511672384831994,0.1644947907313825,83.67137198070363,78.69776245711923,87.11778808728845,131.0,112.0,151.0
comm_base_40,500,0,0.0,4.336808689942018e-19,0.007624340461552241,nan,nan,nan,259.0,223.0,305.25
comm_base_60,500,3,0.006,0.0020425962719602363,0.01749025210405338,85.94372047992384,85.4156428323698,87.8508426661499,162.0,137.0,187.0
