setting,strategy,comparator,median_cases,median_deaths,median_doses,infection_reduction_median,infection_reduction_p025,infection_reduction_p975,mortality_reduction_median,mortality_reduction_p025,mortality_reduction_p975,n_pairs,n_excluded_zero_comparator
bundibugyo_2007,base_ops,,9590.0,4340.0,0.0,,,,,,,,
bundibugyo_2007,enhanced_ops,base_ops,700.0,315.0,0.0,92.66426642664267,88.52248312861374,96.16203838641373,92.63132873781792,88.4395406439991,96.25424488637762,625,0
bundibugyo_2007,enhanced_plus_ring2,enhanced_ops,323.0,135.0,7535.0,52.079866888519135,27.616984315565627,69.0796626054358,56.041131105398456,31.838555716953728,71.85529715762274,625,0
bundibugyo_2007,enhanced_plus_comm40,base_ops,304.0,131.0,4000.0,96.76455948232952,95.20569831139274,97.95252868286791,96.96267099466729,95.57881690064362,98.07739308829227,625,0
isiro_2012,base_ops,,469.0,212.0,0.0,,,,,,,,
isiro_2012,enhanced_ops,base_ops,124.0,56.0,0.0,73.5372340425532,47.084154106921986,84.12100213219617,73.60406091370558,45.469348659003835,85.29755268885704,625,0
isiro_2012,enhanced_plus_ring2,enhanced_ops,106.0,46.0,4247.0,14.130434782608695,-4.4410084033613435,34.84950859950859,16.666666666666668,-0.6779661016949128,39.595505617977516,625,0
isiro_2012,enhanced_plus_comm40,base_ops,99.0,43.0,4000.0,78.91156462585035,60.373966199208915,87.44791239591797,79.79274611398964,62.15444015444015,88.67395897297129,625,0
